Country Code,country_name,season,avg_medal_rank,avg_gdp_rank,total_medals,editions,window_start,window_end,window_efficiency,window_label
ARG,Argentina,Summer,0.5,0.8133333333333334,2,1,1960,1960,0.6147540983606558,1960-1960
AUS,Australia,Summer,0.9117647058823529,0.9533333333333333,22,1,1960,1960,0.9563965446318388,1960-1960
AUT,Austria,Summer,0.5,0.8466666666666667,2,1,1960,1960,0.5905511811023622,1960-1960
BEL,Belgium,Summer,0.6470588235294117,0.88,4,1,1960,1960,0.7352941176470588,1960-1960
BRA,Brazil,Summer,0.5,0.52,2,1,1960,1960,0.9615384615384615,1960-1960
CAN,Canada,Summer,0.3529411764705882,0.98,1,1,1960,1960,0.3601440576230492,1960-1960
CHE,Switzerland,Summer,0.7941176470588236,0.96,6,1,1960,1960,0.8272058823529412,1960-1960
DEU,Unified Team of Germany,Summer,0.9705882352941176,0.86,42,1,1960,1960,1.1285909712722297,1960-1960
DNK,Denmark,Summer,0.7941176470588236,0.9066666666666666,6,1,1960,1960,0.8758650519031143,1960-1960
EGY,"United Arab Republic (Egypt, Syria)",Summer,0.5,0.3866666666666667,2,1,1960,1960,1.2931034482758619,1960-1960
ESP,Spain,Summer,0.3529411764705882,0.6933333333333334,1,1,1960,1960,0.5090497737556561,1960-1960
ETH,Ethiopia,Summer,0.3529411764705882,0.07333333333333336,1,1,1960,1960,4.812834224598928,1960-1960
FIN,Finland,Summer,0.7058823529411764,0.8666666666666668,5,1,1960,1960,0.8144796380090495,1960-1960
FRA,France,Summer,0.7058823529411764,0.8866666666666667,5,1,1960,1960,0.7961079168509508,1960-1960
GBR,Great Britain,Summer,0.8823529411764706,0.9133333333333333,20,1,1960,1960,0.9660798626019751,1960-1960
GHA,Ghana,Summer,0.3529411764705882,0.44666666666666666,1,1,1960,1960,0.7901668129938542,1960-1960
GRC,Greece,Summer,0.3529411764705882,0.76,1,1,1960,1960,0.46439628482972134,1960-1960
IND,India,Summer,0.3529411764705882,0.09999999999999998,1,1,1960,1960,3.5294117647058827,1960-1960
IRN,Iran,Summer,0.6470588235294117,0.4733333333333334,4,1,1960,1960,1.3670256835128414,1960-1960
IRQ,Iraq,Summer,0.3529411764705882,0.4866666666666667,1,1,1960,1960,0.72522159548751,1960-1960
ITA,Italy,Summer,0.9411764705882353,0.8266666666666667,36,1,1960,1960,1.1385199240986716,1960-1960
JPN,Japan,Summer,0.8529411764705882,0.7533333333333333,18,1,1960,1960,1.1322228006246746,1960-1960
MAR,Morocco,Summer,0.3529411764705882,0.43999999999999995,1,1,1960,1960,0.8021390374331551,1960-1960
MEX,Mexico,Summer,0.3529411764705882,0.6533333333333333,1,1,1960,1960,0.5402160864345738,1960-1960
NLD,Netherlands,Summer,0.5882352941176471,0.8533333333333332,3,1,1960,1960,0.6893382352941178,1960-1960
NOR,Norway,Summer,0.3529411764705882,0.92,1,1,1960,1960,0.38363171355498715,1960-1960
NZL,New Zealand,Summer,0.5882352941176471,0.9866666666666667,3,1,1960,1960,0.5961844197138315,1960-1960
PAK,Pakistan,Summer,0.5,0.07999999999999996,2,1,1960,1960,6.2500000000000036,1960-1960
PRT,Portugal,Summer,0.3529411764705882,0.6733333333333333,1,1,1960,1960,0.52417006406523,1960-1960
SGP,"Singapore, British",Summer,0.3529411764705882,0.7133333333333334,1,1,1960,1960,0.4947773501924133,1960-1960
SWE,Sweden,Summer,0.7941176470588236,0.9666666666666667,6,1,1960,1960,0.8215010141987831,1960-1960
TUR,Turkey,Summer,0.8235294117647058,0.5666666666666667,9,1,1960,1960,1.453287197231834,1960-1960
USA,United States,Summer,1.0,1.0,71,1,1960,1960,1.0,1960-1960
VEN,Venezuela,Summer,0.3529411764705882,0.84,1,1,1960,1960,0.4201680672268907,1960-1960
ZAF,South Africa,Summer,0.5882352941176471,0.7733333333333333,3,1,1960,1960,0.7606490872210954,1960-1960
ARG,Argentina,Summer,0.4375,0.8195698924731183,3,2,1960,1964,0.5338165835738651,1960-1964
AUS,Australia,Summer,0.8933823529411764,0.9476344086021504,40,2,1960,1964,0.9427500150179214,1960-1964
AUT,Austria,Summer,0.5,0.8466666666666667,2,1,1960,1964,0.5905511811023622,1960-1964
BEL,Belgium,Summer,0.5891544117647058,0.8819354838709678,7,2,1960,1964,0.6680243878824389,1960-1964
BHS,Bahamas,Summer,0.375,0.9096774193548387,1,1,1960,1964,0.4122340425531915,1960-1964
BRA,Brazil,Summer,0.4375,0.5245161290322581,3,2,1960,1964,0.8341020910209102,1960-1964
CAN,Canada,Summer,0.4733455882352941,0.9674193548387097,5,2,1960,1964,0.4892868701331816,1960-1964
CHE,Switzerland,Summer,0.6939338235294118,0.9606451612903226,10,2,1960,1964,0.7223622743254454,1960-1964
DEU,Unified Team of Germany,Summer,0.9696691176470589,0.8622580645161291,92,2,1960,1964,1.1245694967100195,1960-1964
DNK,Denmark,Summer,0.7564338235294118,0.9210752688172044,12,2,1960,1964,0.8212508240513109,1960-1964
EGY,"United Arab Republic (Egypt, Syria)",Summer,0.5,0.3866666666666667,2,1,1960,1964,1.2931034482758619,1960-1964
ESP,Spain,Summer,0.3529411764705882,0.6933333333333334,1,1,1960,1964,0.5090497737556561,1960-1964
ETH,Ethiopia,Summer,0.3639705882352941,0.06892473118279574,2,2,1960,1964,5.2806965219785225,1960-1964
FIN,Finland,Summer,0.6810661764705882,0.8784946236559141,10,2,1960,1964,0.7752650478796168,1960-1964
FRA,France,Summer,0.7591911764705882,0.9013978494623656,20,2,1960,1964,0.842237616745374,1960-1964
GBR,Great Britain,Summer,0.8786764705882353,0.9050537634408602,38,2,1960,1964,0.9708555514400129,1960-1964
GHA,Ghana,Summer,0.3639705882352941,0.45881720430107525,2,2,1960,1964,0.7932801665311074,1960-1964
GRC,Greece,Summer,0.3529411764705882,0.76,1,1,1960,1964,0.46439628482972134,1960-1964
IND,India,Summer,0.3639705882352941,0.12741935483870964,2,2,1960,1964,2.8564780342516762,1960-1964
