country,country_wb,gdp_country_code,year,season,medal_count,gdp_current_usd
Argentina,Argentina,ARG,1960,Summer,2,15865474315.4056
Australia,Australia,AUS,1960,Summer,22,18635682981.7093
Austria,Austria,AUT,1960,Summer,2,6624086313.14334
Belgium,Belgium,BEL,1960,Summer,4,11810619368.3874
Brazil,Brazil,BRA,1960,Summer,2,17030465539.3906
Bulgaria,Bulgaria,BGR,1960,Summer,7,19839230769.2308
Canada,Canada,CAN,1960,Summer,1,40563768946.9503
Czechoslovakia,Czechia,CZE,1960,Summer,8,41016881802.4843
Denmark,Denmark,DNK,1960,Summer,6,6361166544.50349
Ethiopia,Ethiopia,ETH,1960,Summer,1,1610511693.84215
Finland,Finland,FIN,1960,Summer,5,5279481824.12983
France,France,FRA,1960,Summer,5,61959085885.3427
Ghana,Ghana,GHA,1960,Summer,1,1217230094.97205
Great Britain,United Kingdom,GBR,1960,Summer,20,73233967692.1028
Greece,Greece,GRC,1960,Summer,1,4274890306.82895
Hungary,Hungary,HUN,1960,Summer,21,4886222554.66355
India,India,IND,1960,Summer,1,37029883876.1839
Iran,"Iran, Islamic Rep.",IRN,1960,Summer,4,4199134389.9037
Iraq,Iraq,IRQ,1960,Summer,1,1537252193.09912
Italy,Italy,ITA,1960,Summer,36,42012422612.3955
Japan,Japan,JPN,1960,Summer,18,47419238274.4619
Mexico,Mexico,MEX,1960,Summer,1,13040000000.0
Morocco,Morocco,MAR,1960,Summer,1,2037154741.93211
Netherlands,Netherlands,NLD,1960,Summer,3,13282979014.563
New Zealand,New Zealand,NZL,1960,Summer,3,5536098360.49526
Norway,Norway,NOR,1960,Summer,1,5197398721.41367
Pakistan,Pakistan,PAK,1960,Summer,2,3749265014.69971
Poland,Poland,POL,1960,Summer,21,65977748210.5263
Portugal,Portugal,PRT,1960,Summer,1,3339150157.85605
Romania,Romania,ROU,1960,Summer,10,38067567567.5676
"Singapore, British",Singapore,SGP,1960,Summer,1,704751700.302494
South Africa,South Africa,ZAF,1960,Summer,3,8748596500.5614
Spain,Spain,ESP,1960,Summer,1,12424514013.7604
Sweden,Sweden,SWE,1960,Summer,6,15930075466.8898
Switzerland,Switzerland,CHE,1960,Summer,6,10412232620.5258
Turkey,Turkiye,TUR,1960,Summer,9,7566666666.66667
USSR,Russian Federation,RUS,1960,Summer,103,554828660436.137
Unified Team of Germany,Germany,DEU,1960,Summer,42,84619845881.2608
"United Arab Republic (Egypt, Syria)","Egypt, Arab Rep.",EGY,1960,Summer,2,4206270352.22633
United States,United States,USA,1960,Summer,71,541988586206.897
Venezuela,"Venezuela, RB",VEN,1960,Summer,1,7663938303.07171
Yugoslavia,Serbia,SRB,1960,Summer,2,17921892655.3672
Austria,Austria,AUT,1960,Winter,6,6624086313.14334
Canada,Canada,CAN,1960,Winter,4,40563768946.9503
Czechoslovakia,Czechia,CZE,1960,Winter,1,41016881802.4843
Finland,Finland,FIN,1960,Winter,8,5279481824.12983
France,France,FRA,1960,Winter,3,61959085885.3427
Italy,Italy,ITA,1960,Winter,1,42012422612.3955
Netherlands,Netherlands,NLD,1960,Winter,2,13282979014.563
Norway,Norway,NOR,1960,Winter,6,5197398721.41367
Poland,Poland,POL,1960,Winter,2,65977748210.5263
Sweden,Sweden,SWE,1960,Winter,7,15930075466.8898
Switzerland,Switzerland,CHE,1960,Winter,2,10412232620.5258
USSR,Russian Federation,RUS,1960,Winter,21,554828660436.137
Unified Team of Germany,Germany,DEU,1960,Winter,8,84619845881.2608
United States,United States,USA,1960,Winter,10,541988586206.897
Argentina,Argentina,ARG,1964,Summer,1,25605249381.7597
Australia,Australia,AUS,1964,Summer,18,23835843813.735
Bahamas,"Bahamas, The",BHS,1964,Summer,1,266560042.649607
Belgium,Belgium,BEL,1964,Summer,3,16168044450.2523
Brazil,Brazil,BRA,1964,Summer,1,20963733694.9749
Bulgaria,Bulgaria,BGR,1964,Summer,10,19839230769.2308
Canada,Canada,CAN,1964,Summer,4,49503663836.3665
Cuba,Cuba,CUB,1964,Summer,1,5693005200.0
Czechoslovakia,Czechia,CZE,1964,Summer,14,41016881802.4843
Denmark,Denmark,DNK,1964,Summer,6,9677401337.17309
Ethiopia,Ethiopia,ETH,1964,Summer,1,1984129185.6
Finland,Finland,FIN,1964,Summer,5,7848987792.54261
France,France,FRA,1964,Summer,15,93424179943.3453
Ghana,Ghana,GHA,1964,Summer,1,1731296199.52296
Great Britain,United Kingdom,GBR,1964,Summer,18,94407558351.1616
Hungary,Hungary,HUN,1964,Summer,22,4886222554.66355
India,India,IND,1964,Summer,1,56480289940.9899
Iran,"Iran, Islamic Rep.",IRN,1964,Summer,2,5379845647.70139
Ireland,Ireland,IRL,1964,Summer,1,2851091646.43165
Italy,Italy,ITA,1964,Summer,27,65720771779.4768
Japan,Japan,JPN,1964,Summer,29,87490590817.9803
Kenya,Kenya,KEN,1964,Summer,1,998759334.496266
Korea Republic,"Korea, Rep.",KOR,1964,Summer,3,3476789681.58031
Mexico,Mexico,MEX,1964,Summer,1,20080000000.0
Netherlands,Netherlands,NLD,1964,Summer,10,20232048552.8327
New Zealand,New Zealand,NZL,1964,Summer,5,7340766415.01868
Nigeria,Nigeria,NGA,1964,Summer,1,5552931318.82747
Pakistan,Pakistan,PAK,1964,Summer,1,5204955900.88198
Philippines,Philippines,PHL,1964,Summer,1,5953756194.80988
Poland,Poland,POL,1964,Summer,23,65977748210.5263
Romania,Romania,ROU,1964,Summer,12,38067567567.5676
Sweden,Sweden,SWE,1964,Summer,8,22685490195.3119
Switzerland,Switzerland,CHE,1964,Summer,4,15833133857.6281
Trinidad and Tobago,Trinidad and Tobago,TTO,1964,Summer,3,711897520.256199
Tunisia,Tunisia,TUN,1964,Summer,2,1025866792.15686
Turkey,Turkiye,TUR,1964,Summer,6,11177777777.7778
USSR,Russian Federation,RUS,1964,Summer,96,554828660436.137
Unified Team of Germany,Germany,DEU,1964,Summer,50,123330404665.086
United States,United States,USA,1964,Summer,90,684144620689.655
Uruguay,Uruguay,URY,1964,Summer,1,1975701816.46615
Yugoslavia,Serbia,SRB,1964,Summer,5,17921892655.3672
Austria,Austria,AUT,1964,Winter,12,9213648655.97511
Canada,Canada,CAN,1964,Winter,3,49503663836.3665
Czechoslovakia,Czechia,CZE,1964,Winter,1,41016881802.4843
Finland,Finland,FIN,1964,Winter,10,7848987792.54261
France,France,FRA,1964,Winter,7,93424179943.3453
Great Britain,United Kingdom,GBR,1964,Winter,1,94407558351.1616
Italy,Italy,ITA,1964,Winter,4,65720771779.4768
Netherlands,Netherlands,NLD,1964,Winter,2,20232048552.8327
Norway,Norway,NOR,1964,Winter,15,7206522121.80418
Sweden,Sweden,SWE,1964,Winter,7,22685490195.3119
USSR,Russian Federation,RUS,1964,Winter,25,554828660436.137
Unified Team of Germany,Germany,DEU,1964,Winter,9,123330404665.086
United States,United States,USA,1964,Winter,7,684144620689.655
Argentina,Argentina,ARG,1968,Summer,2,26436857247.4982
Australia,Australia,AUS,1968,Summer,17,32763365242.1384
Austria,Austria,AUT,1968,Summer,4,12499863917.1003
Belgium,Belgium,BEL,1968,Summer,2,21654856965.4281
Brazil,Brazil,BRA,1968,Summer,3,33930457425.2613
Bulgaria,Bulgaria,BGR,1968,Summer,9,19839230769.2308
Cameroon,Cameroon,CMR,1968,Summer,1,1046191217.79942
Canada,Canada,CAN,1968,Summer,5,72048833006.1602
Cuba,Cuba,CUB,1968,Summer,4,5693005200.0
Czechoslovakia,Czechia,CZE,1968,Summer,13,41016881802.4843
Denmark,Denmark,DNK,1968,Summer,8,13505574133.3333
Ethiopia,Ethiopia,ETH,1968,Summer,2,2619948864.8
Federal Republic of Germany,Germany,DEU,1968,Summer,26,156527292653.157
Finland,Finland,FIN,1968,Summer,4,8916565040.54632
France,France,FRA,1968,Summer,15,128710572572.436
German Democratic Republic,Germany,DEU,1968,Summer,25,156527292653.157
Great Britain,United Kingdom,GBR,1968,Summer,13,107759910067.889
Greece,Greece,GRC,1968,Summer,1,9950331205.83108
Hungary,Hungary,HUN,1968,Summer,32,4886222554.66355
India,India,IND,1968,Summer,1,53085455870.6667
Iran,"Iran, Islamic Rep.",IRN,1968,Summer,5,8623172959.89803
Italy,Italy,ITA,1968,Summer,16,91485448147.84
Jamaica,Jamaica,JAM,1968,Summer,1,1083839132.92869
Japan,Japan,JPN,1968,Summer,25,156897496759.128
Kenya,Kenya,KEN,1968,Summer,9,1353295458.68182
Korea Republic,"Korea, Rep.",KOR,1968,Summer,2,6167109472.42856
Mexico,Mexico,MEX,1968,Summer,9,29360000000.0
Mongolia,Mongolia,MNG,1968,Summer,4,2101394100.0
Netherlands,Netherlands,NLD,1968,Summer,7,30097635750.982
New Zealand,New Zealand,NZL,1968,Summer,3,5228045415.27318
Norway,Norway,NOR,1968,Summer,2,10227087165.2414
Pakistan,Pakistan,PAK,1968,Summer,1,8041999160.0168
Poland,Poland,POL,1968,Summer,18,65977748210.5263
Romania,Romania,ROU,1968,Summer,15,38067567567.5676
Sweden,Sweden,SWE,1968,Summer,4,31277871668.8452
Switzerland,Switzerland,CHE,1968,Summer,5,20712102793.8026
Tunisia,Tunisia,TUN,1968,Summer,2,1214666666.66667
