country,country_wb,gdp_country_code,year,season,medal_count,gdp_current_usd
Turkey,Turkiye,TUR,1968,Summer,2,17500000000.0
USSR,Russian Federation,RUS,1968,Summer,91,554828660436.137
Uganda,Uganda,UGA,1968,Summer,2,1037379252.41495
United States,United States,USA,1968,Summer,107,940225000000.0
Venezuela,"Venezuela, RB",VEN,1968,Summer,1,10034444444.4444
Yugoslavia,Serbia,SRB,1968,Summer,8,17921892655.3672
Austria,Austria,AUT,1968,Winter,11,12499863917.1003
Canada,Canada,CAN,1968,Winter,3,72048833006.1602
Czechoslovakia,Czechia,CZE,1968,Winter,4,41016881802.4843
Federal Republic of Germany,Germany,DEU,1968,Winter,7,156527292653.157
Finland,Finland,FIN,1968,Winter,5,8916565040.54632
France,France,FRA,1968,Winter,9,128710572572.436
German Democratic Republic,Germany,DEU,1968,Winter,5,156527292653.157
Italy,Italy,ITA,1968,Winter,4,91485448147.84
Netherlands,Netherlands,NLD,1968,Winter,9,30097635750.982
Norway,Norway,NOR,1968,Winter,14,10227087165.2414
Romania,Romania,ROU,1968,Winter,1,38067567567.5676
Sweden,Sweden,SWE,1968,Winter,8,31277871668.8452
Switzerland,Switzerland,CHE,1968,Winter,6,20712102793.8026
USSR,Russian Federation,RUS,1968,Winter,13,554828660436.137
United States,United States,USA,1968,Winter,7,940225000000.0
Argentina,Argentina,ARG,1972,Summer,1,34733000536.2862
Australia,Australia,AUS,1972,Summer,17,52117990654.2056
Austria,Austria,AUT,1972,Summer,3,21973207929.0434
Belgium,Belgium,BEL,1972,Summer,2,37209418018.5134
Brazil,Brazil,BRA,1972,Summer,2,58434858374.8696
Bulgaria,Bulgaria,BGR,1972,Summer,21,19839230769.2308
Canada,Canada,CAN,1972,Summer,5,113463848873.624
Colombia,Colombia,COL,1972,Summer,3,8671358732.68486
Cuba,Cuba,CUB,1972,Summer,8,8135150891.92025
Czechoslovakia,Czechia,CZE,1972,Summer,8,41016881802.4843
Denmark,Denmark,DNK,1972,Summer,1,23230667549.2496
Ethiopia,Ethiopia,ETH,1972,Summer,2,3520252938.26087
Federal Republic of Germany,Germany,DEU,1972,Summer,40,300899944795.436
Finland,Finland,FIN,1972,Summer,8,14744499569.8308
France,France,FRA,1972,Summer,13,201738881664.499
German Democratic Republic,Germany,DEU,1972,Summer,66,300899944795.436
Ghana,Ghana,GHA,1972,Summer,1,2112293279.98507
Great Britain,United Kingdom,GBR,1972,Summer,18,169965034965.035
Greece,Greece,GRC,1972,Summer,2,16650659090.9091
Hungary,Hungary,HUN,1972,Summer,35,7379313742.13684
India,India,IND,1972,Summer,1,71464700666.9869
Iran,"Iran, Islamic Rep.",IRN,1972,Summer,3,17153463263.1086
Italy,Italy,ITA,1972,Summer,18,145594833997.344
Jamaica,Jamaica,JAM,1972,Summer,1,1875146587.4443
Japan,Japan,JPN,1972,Summer,29,324933841268.585
Kenya,Kenya,KEN,1972,Summer,9,2107279157.08834
Korea Republic,"Korea, Rep.",KOR,1972,Summer,1,10990490569.7259
Lebanon,Lebanon,LBN,1972,Summer,1,3313540067.93246
Mexico,Mexico,MEX,1972,Summer,1,45200000000.0
Mongolia,Mongolia,MNG,1972,Summer,1,2101394100.0
Netherlands,Netherlands,NLD,1972,Summer,5,54787070173.0294
New Zealand,New Zealand,NZL,1972,Summer,3,9567331064.65727
Niger,Niger,NER,1972,Summer,1,742779660.818693
Nigeria,Nigeria,NGA,1972,Summer,1,12274416017.7976
Norway,Norway,NOR,1972,Summer,4,17358610849.701
Pakistan,Pakistan,PAK,1972,Summer,1,9415016359.56604
Poland,Poland,POL,1972,Summer,21,65977748210.5263
Romania,Romania,ROU,1972,Summer,16,38067567567.5676
Spain,Spain,ESP,1972,Summer,1,59090176028.993
Sweden,Sweden,SWE,1972,Summer,16,48883173399.9664
Switzerland,Switzerland,CHE,1972,Summer,3,36844318854.2403
Tunisia,Tunisia,TUN,1972,Summer,1,2237556148.51085
Turkey,Turkiye,TUR,1972,Summer,1,20650000000.0
USSR,Russian Federation,RUS,1972,Summer,99,554828660436.137
Uganda,Uganda,UGA,1972,Summer,2,1490970180.59639
United States,United States,USA,1972,Summer,94,1279110000000.0
Yugoslavia,Serbia,SRB,1972,Summer,5,17921892655.3672
Austria,Austria,AUT,1972,Winter,5,21973207929.0434
Canada,Canada,CAN,1972,Winter,1,113463848873.624
Czechoslovakia,Czechia,CZE,1972,Winter,3,41016881802.4843
Federal Republic of Germany,Germany,DEU,1972,Winter,5,300899944795.436
Finland,Finland,FIN,1972,Winter,5,14744499569.8308
France,France,FRA,1972,Winter,3,201738881664.499
German Democratic Republic,Germany,DEU,1972,Winter,14,300899944795.436
Italy,Italy,ITA,1972,Winter,5,145594833997.344
Japan,Japan,JPN,1972,Winter,3,324933841268.585
Netherlands,Netherlands,NLD,1972,Winter,9,54787070173.0294
Norway,Norway,NOR,1972,Winter,12,17358610849.701
Poland,Poland,POL,1972,Winter,1,65977748210.5263
Spain,Spain,ESP,1972,Winter,1,59090176028.993
Sweden,Sweden,SWE,1972,Winter,4,48883173399.9664
Switzerland,Switzerland,CHE,1972,Winter,10,36844318854.2403
USSR,Russian Federation,RUS,1972,Winter,16,554828660436.137
United States,United States,USA,1972,Winter,8,1279110000000.0
Australia,Australia,AUS,1976,Summer,5,105209354855.787
Austria,Austria,AUT,1976,Summer,1,42791707448.0325
Belgium,Belgium,BEL,1976,Summer,6,71113882967.6071
Bermuda,Bermuda,BMU,1976,Summer,1,386300000.0
Brazil,Brazil,BRA,1976,Summer,2,153168949208.207
Bulgaria,Bulgaria,BGR,1976,Summer,22,19839230769.2308
Canada,Canada,CAN,1976,Summer,11,207271612576.065
Cuba,Cuba,CUB,1976,Summer,13,13789579902.5579
Czechoslovakia,Czechia,CZE,1976,Summer,8,41016881802.4843
Denmark,Denmark,DNK,1976,Summer,3,44503607444.1687
Federal Republic of Germany,Germany,DEU,1976,Summer,39,521658712132.981
Finland,Finland,FIN,1976,Summer,6,31852352669.6415
France,France,FRA,1976,Summer,9,368363152144.223
German Democratic Republic,Germany,DEU,1976,Summer,90,521658712132.981
Great Britain,United Kingdom,GBR,1976,Summer,13,232614555256.065
Hungary,Hungary,HUN,1976,Summer,22,13235612078.8396
Iran,"Iran, Islamic Rep.",IRN,1976,Summer,2,68055295080.7538
Italy,Italy,ITA,1976,Summer,13,225235205861.828
Jamaica,Jamaica,JAM,1976,Summer,2,2966042856.04286
Japan,Japan,JPN,1976,Summer,25,598883902155.605
Korea Republic,"Korea, Rep.",KOR,1976,Summer,6,30371074380.1653
Mexico,Mexico,MEX,1976,Summer,2,88875923765.072
Mongolia,Mongolia,MNG,1976,Summer,1,2101394100.0
Netherlands,Netherlands,NLD,1976,Summer,5,109329386564.427
New Zealand,New Zealand,NZL,1976,Summer,4,13604832424.0062
Norway,Norway,NOR,1976,Summer,2,35942270686.3374
Pakistan,Pakistan,PAK,1976,Summer,1,13168080808.0808
Poland,Poland,POL,1976,Summer,26,65977748210.5263
Portugal,Portugal,PRT,1976,Summer,2,20332831564.9867
Puerto Rico,Puerto Rico (US),PRI,1976,Summer,1,8968600000.0
Romania,Romania,ROU,1976,Summer,27,38067567567.5676
Spain,Spain,ESP,1976,Summer,2,118422534195.474
Sweden,Sweden,SWE,1976,Summer,5,89232517045.8459
Switzerland,Switzerland,CHE,1976,Summer,4,68476524643.943
Thailand,Thailand,THA,1976,Summer,1,16985208648.2112
Trinidad and Tobago,Trinidad and Tobago,TTO,1976,Summer,1,2500424955.23006
USSR,Russian Federation,RUS,1976,Summer,125,554828660436.137
United States,United States,USA,1976,Summer,94,1873412000000.0
Venezuela,"Venezuela, RB",VEN,1976,Summer,1,31419534883.7209
Yugoslavia,Serbia,SRB,1976,Summer,8,17921892655.3672
Austria,Austria,AUT,1976,Winter,6,42791707448.0325
Canada,Canada,CAN,1976,Winter,3,207271612576.065
Czechoslovakia,Czechia,CZE,1976,Winter,1,41016881802.4843
Federal Republic of Germany,Germany,DEU,1976,Winter,10,521658712132.981
Finland,Finland,FIN,1976,Winter,7,31852352669.6415
France,France,FRA,1976,Winter,1,368363152144.223
German Democratic Republic,Germany,DEU,1976,Winter,19,521658712132.981
Great Britain,United Kingdom,GBR,1976,Winter,1,232614555256.065
Italy,Italy,ITA,1976,Winter,4,225235205861.828
Liechtenstein,Liechtenstein,LIE,1976,Winter,2,272489300.467827
Netherlands,Netherlands,NLD,1976,Winter,6,109329386564.427
Norway,Norway,NOR,1976,Winter,7,35942270686.3374
Sweden,Sweden,SWE,1976,Winter,2,89232517045.8459
Switzerland,Switzerland,CHE,1976,Winter,5,68476524643.943
USSR,Russian Federation,RUS,1976,Winter,27,554828660436.137
United States,United States,USA,1976,Winter,10,1873412000000.0
Australia,Australia,AUS,1980,Summer,9,150200557103.064
Austria,Austria,AUT,1980,Summer,4,81737498404.5948
Belgium,Belgium,BEL,1980,Summer,1,126829314388.191
Brazil,Brazil,BRA,1980,Summer,4,237393489892.637
Bulgaria,Bulgaria,BGR,1980,Summer,41,19839230769.2308
Cuba,Cuba,CUB,1980,Summer,20,19912889861.1111
Czechoslovakia,Czechia,CZE,1980,Summer,14,41016881802.4843
Denmark,Denmark,DNK,1980,Summer,5,70811287815.6106
Ethiopia,Ethiopia,ETH,1980,Summer,4,7012585454.10628
Finland,Finland,FIN,1980,Summer,8,53649984061.205
France,France,FRA,1980,Summer,14,694529183483.39
German Democratic Republic,Germany,DEU,1980,Summer,126,953772499462.019
Great Britain,United Kingdom,GBR,1980,Summer,21,564947710899.373
Greece,Greece,GRC,1980,Summer,3,56039256594.7242
Guyana,Guyana,GUY,1980,Summer,1,603200000.0
Hungary,Hungary,HUN,1980,Summer,32,23116977148.0216
India,India,IND,1980,Summer,1,186328579302.068
Ireland,Ireland,IRL,1980,Summer,2,21747855640.0712
Italy,Italy,ITA,1980,Summer,15,478356755595.749
Jamaica,Jamaica,JAM,1980,Summer,3,2679379371.51261
Lebanon,Lebanon,LBN,1980,Summer,1,3313540067.93246
Mexico,Mexico,MEX,1980,Summer,4,205577055465.993
Mongolia,Mongolia,MNG,1980,Summer,4,2101394100.0
Netherlands,Netherlands,NLD,1980,Summer,3,195439301706.939
Poland,Poland,POL,1980,Summer,32,65977748210.5263
Romania,Romania,ROU,1980,Summer,25,38067567567.5676
Spain,Spain,ESP,1980,Summer,6,232600556973.776
Sweden,Sweden,SWE,1980,Summer,12,141886067003.972
Switzerland,Switzerland,CHE,1980,Summer,2,122557843886.137
Tanzania,Tanzania,TZA,1980,Summer,2,11409228086.7463
USSR,Russian Federation,RUS,1980,Summer,195,554828660436.137
Uganda,Uganda,UGA,1980,Summer,1,1244610000.0
Venezuela,"Venezuela, RB",VEN,1980,Summer,1,59116511627.907
Yugoslavia,Serbia,SRB,1980,Summer,9,17921892655.3672
Zimbabwe,Zimbabwe,ZWE,1980,Summer,1,6682278300.2622
Austria,Austria,AUT,1980,Winter,7,81737498404.5948
Bulgaria,Bulgaria,BGR,1980,Winter,1,19839230769.2308
Canada,Canada,CAN,1980,Winter,2,274776566028.053
Czechoslovakia,Czechia,CZE,1980,Winter,1,41016881802.4843
Federal Republic of Germany,Germany,DEU,1980,Winter,5,953772499462.019
Finland,Finland,FIN,1980,Winter,9,53649984061.205
France,France,FRA,1980,Winter,1,694529183483.39
German Democratic Republic,Germany,DEU,1980,Winter,23,953772499462.019
Great Britain,United Kingdom,GBR,1980,Winter,1,564947710899.373
Hungary,Hungary,HUN,1980,Winter,1,23116977148.0216
Italy,Italy,ITA,1980,Winter,2,478356755595.749
Japan,Japan,JPN,1980,Winter,1,1129377244854.04
Liechtenstein,Liechtenstein,LIE,1980,Winter,4,534699362.896161
Netherlands,Netherlands,NLD,1980,Winter,4,195439301706.939
Norway,Norway,NOR,1980,Winter,10,64439382896.0156
Sweden,Sweden,SWE,1980,Winter,4,141886067003.972
Switzerland,Switzerland,CHE,1980,Winter,5,122557843886.137
USSR,Russian Federation,RUS,1980,Winter,22,554828660436.137
United States,United States,USA,1980,Winter,12,2857307000000.0
Algeria,Algeria,DZA,1984,Summer,2,53698548293.0745
Australia,Australia,AUS,1984,Summer,24,193749932078.26
Austria,Austria,AUT,1984,Summer,3,67719055773.3306
Belgium,Belgium,BEL,1984,Summer,4,83349530159.1734
Brazil,Brazil,BRA,1984,Summer,8,188339974086.58
Cameroon,Cameroon,CMR,1984,Summer,1,7311938026.36713
Canada,Canada,CAN,1984,Summer,44,356718400123.543
China,China,CHN,1984,Summer,32,260442857142.857
Colombia,Colombia,COL,1984,Summer,1,38253120737.9671
Denmark,Denmark,DNK,1984,Summer,6,58868891334.9941
Dominican Republic,Dominican Republic,DOM,1984,Summer,1,11594000000.0
Egypt,"Egypt, Arab Rep.",EGY,1984,Summer,1,33971188991.6147
Federal Republic of Germany,Germany,DEU,1984,Summer,59,727767760978.627
Finland,Finland,FIN,1984,Summer,12,52870993272.6553
France,France,FRA,1984,Summer,28,525033325827.516
Great Britain,United Kingdom,GBR,1984,Summer,37,461487097632.349
Greece,Greece,GRC,1984,Summer,2,47352146311.971
Iceland,Iceland,ISL,1984,Summer,1,2964568005.62888
Ireland,Ireland,IRL,1984,Summer,1,20106648454.8404
Italy,Italy,ITA,1984,Summer,32,438896930791.272
Ivory Coast,Cote d'Ivoire,CIV,1984,Summer,1,6841639246.8996
Jamaica,Jamaica,JAM,1984,Summer,3,2373564549.4932
Japan,Japan,JPN,1984,Summer,32,1345824500836.76
Kenya,Kenya,KEN,1984,Summer,3,6191437070.18411
Korea Republic,"Korea, Rep.",KOR,1984,Summer,19,99749645088.5994
Mexico,Mexico,MEX,1984,Summer,6,184230754105.394
Morocco,Morocco,MAR,1984,Summer,2,14824667954.3674
Netherlands,Netherlands,NLD,1984,Summer,13,144124462912.088
New Zealand,New Zealand,NZL,1984,Summer,11,21665975318.8842
Nigeria,Nigeria,NGA,1984,Summer,2,73484359521.4887
Norway,Norway,NOR,1984,Summer,3,62057955032.7758
Pakistan,Pakistan,PAK,1984,Summer,1,31151825467.4978
Peru,Peru,PER,1984,Summer,1,17600400384.5073
Portugal,Portugal,PRT,1984,Summer,3,25217969049.5755
Puerto Rico,Puerto Rico (US),PRI,1984,Summer,2,19162600000.0
Romania,Romania,ROU,1984,Summer,53,38067567567.5676
Spain,Spain,ESP,1984,Summer,5,171979977230.387
Sweden,Sweden,SWE,1984,Summer,19,109043045407.287
Switzerland,Switzerland,CHE,1984,Summer,8,109455312167.511
Syria,Syrian Arab Republic,SYR,1984,Summer,1,17503078174.0039
Thailand,Thailand,THA,1984,Summer,1,41797647775.6238
Turkey,Turkiye,TUR,1984,Summer,3,59937602179.8365
United States,United States,USA,1984,Summer,174,4037613000000.0
Venezuela,"Venezuela, RB",VEN,1984,Summer,3,59867743467.9335
Yugoslavia,Serbia,SRB,1984,Summer,18,17921892655.3672
Zambia,Zambia,ZMB,1984,Summer,1,2719518932.99541
Austria,Austria,AUT,1984,Winter,1,67719055773.3306
Canada,Canada,CAN,1984,Winter,4,356718400123.543
Czechoslovakia,Czechia,CZE,1984,Winter,6,41016881802.4843
Federal Republic of Germany,Germany,DEU,1984,Winter,4,727767760978.627
Finland,Finland,FIN,1984,Winter,13,52870993272.6553
France,France,FRA,1984,Winter,3,525033325827.516
German Democratic Republic,Germany,DEU,1984,Winter,24,727767760978.627
Great Britain,United Kingdom,GBR,1984,Winter,1,461487097632.349
Italy,Italy,ITA,1984,Winter,2,438896930791.272
Japan,Japan,JPN,1984,Winter,1,1345824500836.76
Liechtenstein,Liechtenstein,LIE,1984,Winter,2,502620991.852944
Norway,Norway,NOR,1984,Winter,9,62057955032.7758
Sweden,Sweden,SWE,1984,Winter,8,109043045407.287
Switzerland,Switzerland,CHE,1984,Winter,5,109455312167.511
USSR,Russian Federation,RUS,1984,Winter,25,554828660436.137
United States,United States,USA,1984,Winter,8,4037613000000.0
Yugoslavia,Serbia,SRB,1984,Winter,1,17921892655.3672
Argentina,Argentina,ARG,1988,Summer,2,126890235049.092
Australia,Australia,AUS,1988,Summer,14,236461079970.431
Austria,Austria,AUT,1988,Summer,1,132817124707.456
Belgium,Belgium,BEL,1988,Summer,2,162299103675.261
Brazil,Brazil,BRA,1988,Summer,6,307881930752.268
Bulgaria,Bulgaria,BGR,1988,Summer,35,22555941176.4706
Canada,Canada,CAN,1988,Summer,10,509380027626.554
Chile,Chile,CHL,1988,Summer,1,26174858613.8456
China,China,CHN,1988,Summer,28,312888888888.889
Colombia,Colombia,COL,1988,Summer,1,39212550050.4223
Costa Rica,Costa Rica,CRI,1988,Summer,1,4614629898.40348
Czechoslovakia,Czechia,CZE,1988,Summer,8,41016881802.4843
Denmark,Denmark,DNK,1988,Summer,4,115540189705.118
Djibouti,Djibouti,DJI,1988,Summer,1,395794538.630775
Federal Republic of Germany,Germany,DEU,1988,Summer,40,1406367016371.53
Finland,Finland,FIN,1988,Summer,4,109039090262.971
France,France,FRA,1988,Summer,16,1010827662151.75
German Democratic Republic,Germany,DEU,1988,Summer,102,1406367016371.53
Great Britain,United Kingdom,GBR,1988,Summer,24,910122732123.799
Greece,Greece,GRC,1988,Summer,1,75200610136.9205
Hungary,Hungary,HUN,1988,Summer,23,29799838597.4079
Indonesia,Indonesia,IDN,1988,Summer,1,84300174485.7973
Iran,"Iran, Islamic Rep.",IRN,1988,Summer,1,123057861333.908
Italy,Italy,ITA,1988,Summer,14,893663934840.821
Jamaica,Jamaica,JAM,1988,Summer,2,3828342820.3494
Japan,Japan,JPN,1988,Summer,14,3125724434400.79
Kenya,Kenya,KEN,1988,Summer,9,8355380879.12955
Korea Republic,"Korea, Rep.",KOR,1988,Summer,33,205477530605.222
Mexico,Mexico,MEX,1988,Summer,2,181611150496.787
Mongolia,Mongolia,MNG,1988,Summer,1,3204461566.66667
Morocco,Morocco,MAR,1988,Summer,3,25705296183.5037
Netherlands,Netherlands,NLD,1988,Summer,9,262295966105.474
Netherlands Antilles,Curacao,CUW,1988,Summer,1,2120511229.05028
New Zealand,New Zealand,NZL,1988,Summer,13,45176811594.2029
Norway,Norway,NOR,1988,Summer,5,101900260856.222
Pakistan,Pakistan,PAK,1988,Summer,1,38472742808.3167
Peru,Peru,PER,1988,Summer,1,15439408447.2
Philippines,Philippines,PHL,1988,Summer,1,43152128958.6116
Poland,Poland,POL,1988,Summer,16,65977748210.5263
Portugal,Portugal,PRT,1988,Summer,1,56347250696.3788
Romania,Romania,ROU,1988,Summer,24,40424528301.8868
Senegal,Senegal,SEN,1988,Summer,1,6418419388.63499
Spain,Spain,ESP,1988,Summer,4,375891716897.586
