season,year,medal,country_code,country,games,sport,event_gender,event_name,Country Code,gdp_usd
Summer,1960,Gold,EUA,Unified Team of Germany,1960 Rome,Athletics,Men's,100m,DEU,0.8815537317391245
Summer,1960,Silver,USA,United States,1960 Rome,Athletics,Men's,100m,USA,1.0
Summer,1960,Bronze,GBR,Great Britain,1960 Rome,Athletics,Men's,100m,GBR,0.904598586798589
Summer,1960,Gold,ITA,Italy,1960 Rome,Athletics,Men's,200m,ITA,0.8405496480330293
Summer,1960,Silver,USA,United States,1960 Rome,Athletics,Men's,200m,USA,1.0
Summer,1960,Bronze,FRA,France,1960 Rome,Athletics,Men's,200m,FRA,0.8962084435591599
Summer,1960,Gold,USA,United States,1960 Rome,Athletics,Men's,400m,USA,1.0
Summer,1960,Silver,EUA,Unified Team of Germany,1960 Rome,Athletics,Men's,400m,DEU,0.8815537317391245
Summer,1960,Bronze,RSA,South Africa,1960 Rome,Athletics,Men's,400m,ZAF,0.7839954855699607
Summer,1960,Gold,NZL,New Zealand,1960 Rome,Athletics,Men's,800m,NZL,0.9686589668291075
Summer,1960,Silver,BEL,Belgium,1960 Rome,Athletics,Men's,800m,BEL,0.8946203719408711
Summer,1960,Bronze,BWI,British West Indies,1960 Rome,Athletics,Men's,800m,BWI,
Summer,1960,Gold,AUS,Australia,1960 Rome,Athletics,Men's,1500m,AUS,0.9371313661661919
Summer,1960,Silver,FRA,France,1960 Rome,Athletics,Men's,1500m,FRA,0.8962084435591599
Summer,1960,Bronze,HUN,Hungary,1960 Rome,Athletics,Men's,1500m,HUN,
Summer,1960,Gold,NZL,New Zealand,1960 Rome,Athletics,Men's,5000m,NZL,0.9686589668291075
Summer,1960,Silver,EUA,Unified Team of Germany,1960 Rome,Athletics,Men's,5000m,DEU,0.8815537317391245
Summer,1960,Bronze,POL,Poland,1960 Rome,Athletics,Men's,5000m,POL,
Summer,1960,Gold,URS,USSR,1960 Rome,Athletics,Men's,10000m,RUS,
Summer,1960,Silver,EUA,Unified Team of Germany,1960 Rome,Athletics,Men's,10000m,DEU,0.8815537317391245
Summer,1960,Bronze,AUS,Australia,1960 Rome,Athletics,Men's,10000m,AUS,0.9371313661661919
Summer,1960,Gold,ETH,Ethiopia,1960 Rome,Athletics,Men's,marathon,ETH,0.5398241203154166
Summer,1960,Silver,MAR,Morocco,1960 Rome,Athletics,Men's,marathon,MAR,0.6449342599729638
Summer,1960,Bronze,NZL,New Zealand,1960 Rome,Athletics,Men's,marathon,NZL,0.9686589668291075
Summer,1960,Gold,USA,United States,1960 Rome,Athletics,Men's,110m hurdles,USA,1.0
Summer,1960,Silver,USA,United States,1960 Rome,Athletics,Men's,110m hurdles,USA,1.0
Summer,1960,Bronze,USA,United States,1960 Rome,Athletics,Men's,110m hurdles,USA,1.0
Summer,1960,Gold,USA,United States,1960 Rome,Athletics,Men's,400m hurdles,USA,1.0
Summer,1960,Silver,USA,United States,1960 Rome,Athletics,Men's,400m hurdles,USA,1.0
Summer,1960,Bronze,USA,United States,1960 Rome,Athletics,Men's,400m hurdles,USA,1.0
Summer,1960,Gold,POL,Poland,1960 Rome,Athletics,Men's,3000m steeplechase,POL,
Summer,1960,Silver,URS,USSR,1960 Rome,Athletics,Men's,3000m steeplechase,RUS,
Summer,1960,Bronze,URS,USSR,1960 Rome,Athletics,Men's,3000m steeplechase,RUS,
Summer,1960,Gold,EUA,Unified Team of Germany,1960 Rome,Athletics,Men's,4x100m relay,DEU,0.8815537317391245
Summer,1960,Silver,URS,USSR,1960 Rome,Athletics,Men's,4x100m relay,RUS,
Summer,1960,Bronze,GBR,Great Britain,1960 Rome,Athletics,Men's,4x100m relay,GBR,0.904598586798589
Summer,1960,Gold,USA,United States,1960 Rome,Athletics,Men's,4x400m relay,USA,1.0
Summer,1960,Silver,EUA,Unified Team of Germany,1960 Rome,Athletics,Men's,4x400m relay,DEU,0.8815537317391245
Summer,1960,Bronze,BWI,British West Indies,1960 Rome,Athletics,Men's,4x400m relay,BWI,
Summer,1960,Gold,URS,USSR,1960 Rome,Athletics,Men's,20km walk,RUS,
Summer,1960,Silver,AUS,Australia,1960 Rome,Athletics,Men's,20km walk,AUS,0.9371313661661919
Summer,1960,Bronze,GBR,Great Britain,1960 Rome,Athletics,Men's,20km walk,GBR,0.904598586798589
Summer,1960,Gold,GBR,Great Britain,1960 Rome,Athletics,Men's,50km walk,GBR,0.904598586798589
Summer,1960,Silver,SWE,Sweden,1960 Rome,Athletics,Men's,50km walk,SWE,0.9571321988680288
Summer,1960,Bronze,ITA,Italy,1960 Rome,Athletics,Men's,50km walk,ITA,0.8405496480330293
Summer,1960,Gold,USA,United States,1960 Rome,Athletics,Men's,long jump,USA,1.0
Summer,1960,Silver,USA,United States,1960 Rome,Athletics,Men's,long jump,USA,1.0
Summer,1960,Bronze,URS,USSR,1960 Rome,Athletics,Men's,long jump,RUS,
Summer,1960,Gold,POL,Poland,1960 Rome,Athletics,Men's,triple jump,POL,
Summer,1960,Silver,URS,USSR,1960 Rome,Athletics,Men's,triple jump,RUS,
Summer,1960,Bronze,URS,USSR,1960 Rome,Athletics,Men's,triple jump,RUS,
Summer,1960,Gold,URS,USSR,1960 Rome,Athletics,Men's,high jump,RUS,
Summer,1960,Silver,URS,USSR,1960 Rome,Athletics,Men's,high jump,RUS,
Summer,1960,Bronze,USA,United States,1960 Rome,Athletics,Men's,high jump,USA,1.0
Summer,1960,Gold,USA,United States,1960 Rome,Athletics,Men's,pole vault,USA,1.0
Summer,1960,Silver,USA,United States,1960 Rome,Athletics,Men's,pole vault,USA,1.0
Summer,1960,Bronze,FIN,Finland,1960 Rome,Athletics,Men's,pole vault,FIN,0.8847090845153536
Summer,1960,Gold,USA,United States,1960 Rome,Athletics,Men's,shot put,USA,1.0
