season,year,medal,country_code,country,games,sport,event_gender,event_name,Country Code,gdp_usd
Summer,1960,Silver,USA,United States,1960 Rome,Athletics,Men's,shot put,USA,1.0
Summer,1960,Bronze,USA,United States,1960 Rome,Athletics,Men's,shot put,USA,1.0
Summer,1960,Gold,USA,United States,1960 Rome,Athletics,Men's,discus throw,USA,1.0
Summer,1960,Silver,USA,United States,1960 Rome,Athletics,Men's,discus throw,USA,1.0
Summer,1960,Bronze,USA,United States,1960 Rome,Athletics,Men's,discus throw,USA,1.0
Summer,1960,Gold,URS,USSR,1960 Rome,Athletics,Men's,hammer throw,RUS,
Summer,1960,Silver,HUN,Hungary,1960 Rome,Athletics,Men's,hammer throw,HUN,
Summer,1960,Bronze,POL,Poland,1960 Rome,Athletics,Men's,hammer throw,POL,
Summer,1960,Gold,URS,USSR,1960 Rome,Athletics,Men's,javelin throw,RUS,
Summer,1960,Silver,EUA,Unified Team of Germany,1960 Rome,Athletics,Men's,javelin throw,DEU,0.8815537317391245
Summer,1960,Bronze,HUN,Hungary,1960 Rome,Athletics,Men's,javelin throw,HUN,
Summer,1960,Gold,USA,United States,1960 Rome,Athletics,Men's,decathlon,USA,1.0
Summer,1960,Silver,TPE,Republic of China (Taiwan),1960 Rome,Athletics,Men's,decathlon,TPE,
Summer,1960,Bronze,URS,USSR,1960 Rome,Athletics,Men's,decathlon,RUS,
Summer,1960,Gold,USA,United States,1960 Rome,Athletics,Women's,100m,USA,1.0
Summer,1960,Silver,GBR,Great Britain,1960 Rome,Athletics,Women's,100m,GBR,0.904598586798589
Summer,1960,Bronze,ITA,Italy,1960 Rome,Athletics,Women's,100m,ITA,0.8405496480330293
Summer,1960,Gold,USA,United States,1960 Rome,Athletics,Women's,200m,USA,1.0
Summer,1960,Silver,EUA,Unified Team of Germany,1960 Rome,Athletics,Women's,200m,DEU,0.8815537317391245
Summer,1960,Bronze,GBR,Great Britain,1960 Rome,Athletics,Women's,200m,GBR,0.904598586798589
Summer,1960,Gold,URS,USSR,1960 Rome,Athletics,Women's,800m,RUS,
Summer,1960,Silver,AUS,Australia,1960 Rome,Athletics,Women's,800m,AUS,0.9371313661661919
Summer,1960,Bronze,EUA,Unified Team of Germany,1960 Rome,Athletics,Women's,800m,DEU,0.8815537317391245
Summer,1960,Gold,URS,USSR,1960 Rome,Athletics,Women's,80m hurdles,RUS,
Summer,1960,Silver,GBR,Great Britain,1960 Rome,Athletics,Women's,80m hurdles,GBR,0.904598586798589
Summer,1960,Bronze,EUA,Unified Team of Germany,1960 Rome,Athletics,Women's,80m hurdles,DEU,0.8815537317391245
Summer,1960,Gold,USA,United States,1960 Rome,Athletics,Women's,4x100m relay,USA,1.0
Summer,1960,Silver,EUA,Unified Team of Germany,1960 Rome,Athletics,Women's,4x100m relay,DEU,0.8815537317391245
Summer,1960,Bronze,POL,Poland,1960 Rome,Athletics,Women's,4x100m relay,POL,
Summer,1960,Gold,URS,USSR,1960 Rome,Athletics,Women's,long jump,RUS,
Summer,1960,Silver,POL,Poland,1960 Rome,Athletics,Women's,long jump,POL,
Summer,1960,Bronze,EUA,Unified Team of Germany,1960 Rome,Athletics,Women's,long jump,DEU,0.8815537317391245
Summer,1960,Gold,ROU,Romania,1960 Rome,Athletics,Women's,high jump,ROU,
Summer,1960,Silver,GBR,Great Britain,1960 Rome,Athletics,Women's,high jump,GBR,0.904598586798589
Summer,1960,Silver,POL,Poland,1960 Rome,Athletics,Women's,high jump,POL,
Summer,1960,Gold,URS,USSR,1960 Rome,Athletics,Women's,shot put,RUS,
Summer,1960,Silver,EUA,Unified Team of Germany,1960 Rome,Athletics,Women's,shot put,DEU,0.8815537317391245
Summer,1960,Bronze,USA,United States,1960 Rome,Athletics,Women's,shot put,USA,1.0
Summer,1960,Gold,URS,USSR,1960 Rome,Athletics,Women's,discus throw,RUS,
Summer,1960,Silver,URS,USSR,1960 Rome,Athletics,Women's,discus throw,RUS,
Summer,1960,Bronze,ROU,Romania,1960 Rome,Athletics,Women's,discus throw,ROU,
Summer,1960,Gold,URS,USSR,1960 Rome,Athletics,Women's,javelin throw,RUS,
Summer,1960,Silver,TCH,Czechoslovakia,1960 Rome,Athletics,Women's,javelin throw,CZE,
Summer,1960,Bronze,URS,USSR,1960 Rome,Athletics,Women's,javelin throw,RUS,
Summer,1960,Gold,USA,United States,1960 Rome,Basketball,Men's,basketball,USA,1.0
Summer,1960,Silver,URS,USSR,1960 Rome,Basketball,Men's,basketball,RUS,
Summer,1960,Bronze,BRA,Brazil,1960 Rome,Basketball,Men's,basketball,BRA,0.6820505685414558
Summer,1960,Gold,HUN,Hungary,1960 Rome,Boxing,Men's,- 51kg (flyweight),HUN,
Summer,1960,Silver,URS,USSR,1960 Rome,Boxing,Men's,- 51kg (flyweight),RUS,
Summer,1960,Bronze,EGY,"United Arab Republic (Egypt, Syria)",1960 Rome,Boxing,Men's,- 51kg (flyweight),EGY,0.6310433074700734
Summer,1960,Bronze,JPN,Japan,1960 Rome,Boxing,Men's,- 51kg (flyweight),JPN,0.7783678332709423
Summer,1960,Gold,URS,USSR,1960 Rome,Boxing,Men's,51 - 54kg (bantamweight),RUS,
Summer,1960,Silver,ITA,Italy,1960 Rome,Boxing,Men's,51 - 54kg (bantamweight),ITA,0.8405496480330293
Summer,1960,Bronze,AUS,Australia,1960 Rome,Boxing,Men's,51 - 54kg (bantamweight),AUS,0.9371313661661919
Summer,1960,Bronze,POL,Poland,1960 Rome,Boxing,Men's,51 - 54kg (bantamweight),POL,
Summer,1960,Gold,ITA,Italy,1960 Rome,Boxing,Men's,54 - 57kg (featherweight),ITA,0.8405496480330293
Summer,1960,Silver,POL,Poland,1960 Rome,Boxing,Men's,54 - 57kg (featherweight),POL,
Summer,1960,Bronze,FIN,Finland,1960 Rome,Boxing,Men's,54 - 57kg (featherweight),FIN,0.8847090845153536
Summer,1960,Bronze,RSA,South Africa,1960 Rome,Boxing,Men's,54 - 57kg (featherweight),ZAF,0.7839954855699607
Summer,1960,Gold,POL,Poland,1960 Rome,Boxing,Men's,57 - 60kg (lightweight),POL,
Summer,1960,Silver,ITA,Italy,1960 Rome,Boxing,Men's,57 - 60kg (lightweight),ITA,0.8405496480330293
Summer,1960,Bronze,ARG,Argentina,1960 Rome,Boxing,Men's,57 - 60kg (lightweight),ARG,0.8314741234311144
Summer,1960,Bronze,GBR,Great Britain,1960 Rome,Boxing,Men's,57 - 60kg (lightweight),GBR,0.904598586798589
Summer,1960,Gold,TCH,Czechoslovakia,1960 Rome,Boxing,Men's,60 - 63.5kg (light-welterweight),CZE,
Summer,1960,Silver,GHA,Ghana,1960 Rome,Boxing,Men's,60 - 63.5kg (light-welterweight),GHA,0.6449876455805976
Summer,1960,Bronze,POL,Poland,1960 Rome,Boxing,Men's,60 - 63.5kg (light-welterweight),POL,
Summer,1960,Bronze,USA,United States,1960 Rome,Boxing,Men's,60 - 63.5kg (light-welterweight),USA,1.0
Summer,1960,Gold,ITA,Italy,1960 Rome,Boxing,Men's,63.5 - 67kg (welterweight),ITA,0.8405496480330293
Summer,1960,Silver,URS,USSR,1960 Rome,Boxing,Men's,63.5 - 67kg (welterweight),RUS,
Summer,1960,Bronze,GBR,Great Britain,1960 Rome,Boxing,Men's,63.5 - 67kg (welterweight),GBR,0.904598586798589
Summer,1960,Bronze,POL,Poland,1960 Rome,Boxing,Men's,63.5 - 67kg (welterweight),POL,
Summer,1960,Gold,USA,United States,1960 Rome,Boxing,Men's,67 - 71kg (light-middleweight),USA,1.0
Summer,1960,Silver,ITA,Italy,1960 Rome,Boxing,Men's,67 - 71kg (light-middleweight),ITA,0.8405496480330293
Summer,1960,Bronze,GBR,Great Britain,1960 Rome,Boxing,Men's,67 - 71kg (light-middleweight),GBR,0.904598586798589
Summer,1960,Bronze,URS,USSR,1960 Rome,Boxing,Men's,67 - 71kg (light-middleweight),RUS,
Summer,1960,Gold,USA,United States,1960 Rome,Boxing,Men's,71 - 75kg (middleweight),USA,1.0
Summer,1960,Silver,POL,Poland,1960 Rome,Boxing,Men's,71 - 75kg (middleweight),POL,
Summer,1960,Bronze,ROU,Romania,1960 Rome,Boxing,Men's,71 - 75kg (middleweight),ROU,
Summer,1960,Bronze,URS,USSR,1960 Rome,Boxing,Men's,71 - 75kg (middleweight),RUS,
Summer,1960,Gold,USA,United States,1960 Rome,Boxing,Men's,75 - 81kg (light-heavyweight),USA,1.0
Summer,1960,Silver,POL,Poland,1960 Rome,Boxing,Men's,75 - 81kg (light-heavyweight),POL,
Summer,1960,Bronze,AUS,Australia,1960 Rome,Boxing,Men's,75 - 81kg (light-heavyweight),AUS,0.9371313661661919
Summer,1960,Bronze,ITA,Italy,1960 Rome,Boxing,Men's,75 - 81kg (light-heavyweight),ITA,0.8405496480330293
Summer,1960,Gold,ITA,Italy,1960 Rome,Boxing,Men's,+ 81kg (heavyweight),ITA,0.8405496480330293
Summer,1960,Silver,RSA,South Africa,1960 Rome,Boxing,Men's,+ 81kg (heavyweight),ZAF,0.7839954855699607
Summer,1960,Bronze,TCH,Czechoslovakia,1960 Rome,Boxing,Men's,+ 81kg (heavyweight),CZE,
Summer,1960,Bronze,EUA,Unified Team of Germany,1960 Rome,Boxing,Men's,+ 81kg (heavyweight),DEU,0.8815537317391245
Summer,1960,Gold,DEN,Denmark,1960 Rome,Canoe Sprint,Men's,K-1 1000m (kayak single),DNK,0.9038300323011961
Summer,1960,Silver,HUN,Hungary,1960 Rome,Canoe Sprint,Men's,K-1 1000m (kayak single),HUN,
Summer,1960,Bronze,SWE,Sweden,1960 Rome,Canoe Sprint,Men's,K-1 1000m (kayak single),SWE,0.9571321988680288
Summer,1960,Gold,SWE,Sweden,1960 Rome,Canoe Sprint,Men's,K-2 1000m (kayak double),SWE,0.9571321988680288
Summer,1960,Silver,HUN,Hungary,1960 Rome,Canoe Sprint,Men's,K-2 1000m (kayak double),HUN,
Summer,1960,Bronze,POL,Poland,1960 Rome,Canoe Sprint,Men's,K-2 1000m (kayak double),POL,
Summer,1960,Gold,HUN,Hungary,1960 Rome,Canoe Sprint,Men's,C-1 1000m (canoe single),HUN,
Summer,1960,Silver,URS,USSR,1960 Rome,Canoe Sprint,Men's,C-1 1000m (canoe single),RUS,
Summer,1960,Bronze,ROU,Romania,1960 Rome,Canoe Sprint,Men's,C-1 1000m (canoe single),ROU,
Summer,1960,Gold,URS,USSR,1960 Rome,Canoe Sprint,Men's,C-2 1000m (canoe double),RUS,
Summer,1960,Silver,ITA,Italy,1960 Rome,Canoe Sprint,Men's,C-2 1000m (canoe double),ITA,0.8405496480330293
Summer,1960,Bronze,HUN,Hungary,1960 Rome,Canoe Sprint,Men's,C-2 1000m (canoe double),HUN,
Summer,1960,Gold,EUA,Unified Team of Germany,1960 Rome,Canoe Sprint,Men's,K-1 4x500m,DEU,0.8815537317391245
Summer,1960,Silver,HUN,Hungary,1960 Rome,Canoe Sprint,Men's,K-1 4x500m,HUN,
Summer,1960,Bronze,DEN,Denmark,1960 Rome,Canoe Sprint,Men's,K-1 4x500m,DNK,0.9038300323011961
Summer,1960,Gold,URS,USSR,1960 Rome,Canoe Sprint,Women's,K-1 500m (kayak single),RUS,
Summer,1960,Silver,EUA,Unified Team of Germany,1960 Rome,Canoe Sprint,Women's,K-1 500m (kayak single),DEU,0.8815537317391245
Summer,1960,Bronze,POL,Poland,1960 Rome,Canoe Sprint,Women's,K-1 500m (kayak single),POL,
Summer,1960,Gold,URS,USSR,1960 Rome,Canoe Sprint,Women's,K-2 500m (kayak double),RUS,
Summer,1960,Silver,EUA,Unified Team of Germany,1960 Rome,Canoe Sprint,Women's,K-2 500m (kayak double),DEU,0.8815537317391245
Summer,1960,Bronze,HUN,Hungary,1960 Rome,Canoe Sprint,Women's,K-2 500m (kayak double),HUN,
Summer,1960,Gold,URS,USSR,1960 Rome,Cycling Road,Men's,individual road race,RUS,
Summer,1960,Silver,ITA,Italy,1960 Rome,Cycling Road,Men's,individual road race,ITA,0.8405496480330293
Summer,1960,Bronze,BEL,Belgium,1960 Rome,Cycling Road,Men's,individual road race,BEL,0.8946203719408711
Summer,1960,Gold,ITA,Italy,1960 Rome,Cycling Road,Men's,team time trial,ITA,0.8405496480330293
Summer,1960,Silver,EUA,Unified Team of Germany,1960 Rome,Cycling Road,Men's,team time trial,DEU,0.8815537317391245
Summer,1960,Bronze,URS,USSR,1960 Rome,Cycling Road,Men's,team time trial,RUS,
Summer,1960,Gold,ITA,Italy,1960 Rome,Cycling Track,Men's,sprint individual,ITA,0.8405496480330293
Summer,1960,Silver,BEL,Belgium,1960 Rome,Cycling Track,Men's,sprint individual,BEL,0.8946203719408711
Summer,1960,Bronze,ITA,Italy,1960 Rome,Cycling Track,Men's,sprint individual,ITA,0.8405496480330293
Summer,1960,Gold,ITA,Italy,1960 Rome,Cycling Track,Men's,1km time trial,ITA,0.8405496480330293
Summer,1960,Silver,EUA,Unified Team of Germany,1960 Rome,Cycling Track,Men's,1km time trial,DEU,0.8815537317391245
Summer,1960,Bronze,URS,USSR,1960 Rome,Cycling Track,Men's,1km time trial,RUS,
Summer,1960,Gold,ITA,Italy,1960 Rome,Cycling Track,Men's,2000m tandem,ITA,0.8405496480330293
Summer,1960,Silver,EUA,Unified Team of Germany,1960 Rome,Cycling Track,Men's,2000m tandem,DEU,0.8815537317391245
Summer,1960,Bronze,URS,USSR,1960 Rome,Cycling Track,Men's,2000m tandem,RUS,
Summer,1960,Gold,ITA,Italy,1960 Rome,Cycling Track,Men's,Team Pursuit (4000m),ITA,0.8405496480330293
Summer,1960,Silver,EUA,Unified Team of Germany,1960 Rome,Cycling Track,Men's,Team Pursuit (4000m),DEU,0.8815537317391245
Summer,1960,Bronze,URS,USSR,1960 Rome,Cycling Track,Men's,Team Pursuit (4000m),RUS,
Summer,1960,Gold,USA,United States,1960 Rome,Diving,Men's,3m springboard,USA,1.0
Summer,1960,Silver,USA,United States,1960 Rome,Diving,Men's,3m springboard,USA,1.0
Summer,1960,Bronze,MEX,Mexico,1960 Rome,Diving,Men's,3m springboard,MEX,0.7334615335977868
Summer,1960,Gold,USA,United States,1960 Rome,Diving,Men's,10m platform,USA,1.0
Summer,1960,Silver,USA,United States,1960 Rome,Diving,Men's,10m platform,USA,1.0
Summer,1960,Bronze,GBR,Great Britain,1960 Rome,Diving,Men's,10m platform,GBR,0.904598586798589
Summer,1960,Gold,EUA,Unified Team of Germany,1960 Rome,Diving,Women's,3m springboard,DEU,0.8815537317391245
Summer,1960,Silver,USA,United States,1960 Rome,Diving,Women's,3m springboard,USA,1.0
Summer,1960,Bronze,GBR,Great Britain,1960 Rome,Diving,Women's,3m springboard,GBR,0.904598586798589
Summer,1960,Gold,EUA,Unified Team of Germany,1960 Rome,Diving,Women's,10m platform,DEU,0.8815537317391245
Summer,1960,Silver,USA,United States,1960 Rome,Diving,Women's,10m platform,USA,1.0
Summer,1960,Bronze,URS,USSR,1960 Rome,Diving,Women's,10m platform,RUS,
Summer,1960,Gold,URS,USSR,1960 Rome,Equestrian Dressage,Mixed,individual,RUS,
Summer,1960,Silver,SUI,Switzerland,1960 Rome,Equestrian Dressage,Mixed,individual,CHE,0.9464761283549096
Summer,1960,Bronze,EUA,Unified Team of Germany,1960 Rome,Equestrian Dressage,Mixed,individual,DEU,0.8815537317391245
Summer,1960,Gold,AUS,Australia,1960 Rome,Equestrian Eventing,Mixed,individual,AUS,0.9371313661661919
Summer,1960,Silver,AUS,Australia,1960 Rome,Equestrian Eventing,Mixed,individual,AUS,0.9371313661661919
Summer,1960,Bronze,SUI,Switzerland,1960 Rome,Equestrian Eventing,Mixed,individual,CHE,0.9464761283549096
Summer,1960,Gold,AUS,Australia,1960 Rome,Equestrian Eventing,Mixed,team,AUS,0.9371313661661919
Summer,1960,Silver,SUI,Switzerland,1960 Rome,Equestrian Eventing,Mixed,team,CHE,0.9464761283549096
Summer,1960,Bronze,FRA,France,1960 Rome,Equestrian Eventing,Mixed,team,FRA,0.8962084435591599
Summer,1960,Gold,ITA,Italy,1960 Rome,Equestrian Jumping,Mixed,individual,ITA,0.8405496480330293
Summer,1960,Silver,ITA,Italy,1960 Rome,Equestrian Jumping,Mixed,individual,ITA,0.8405496480330293
Summer,1960,Bronze,GBR,Great Britain,1960 Rome,Equestrian Jumping,Mixed,individual,GBR,0.904598586798589
Summer,1960,Gold,EUA,Unified Team of Germany,1960 Rome,Equestrian Jumping,Mixed,team,DEU,0.8815537317391245
Summer,1960,Silver,USA,United States,1960 Rome,Equestrian Jumping,Mixed,team,USA,1.0
Summer,1960,Bronze,ITA,Italy,1960 Rome,Equestrian Jumping,Mixed,team,ITA,0.8405496480330293
Summer,1960,Gold,ITA,Italy,1960 Rome,Fencing,Men's,épée individual,ITA,0.8405496480330293
Summer,1960,Silver,GBR,Great Britain,1960 Rome,Fencing,Men's,épée individual,GBR,0.904598586798589
Summer,1960,Bronze,URS,USSR,1960 Rome,Fencing,Men's,épée individual,RUS,
Summer,1960,Gold,ITA,Italy,1960 Rome,Fencing,Men's,épée team,ITA,0.8405496480330293
Summer,1960,Silver,GBR,Great Britain,1960 Rome,Fencing,Men's,épée team,GBR,0.904598586798589
Summer,1960,Bronze,URS,USSR,1960 Rome,Fencing,Men's,épée team,RUS,
Summer,1960,Gold,URS,USSR,1960 Rome,Fencing,Men's,foil individual,RUS,
Summer,1960,Silver,URS,USSR,1960 Rome,Fencing,Men's,foil individual,RUS,
Summer,1960,Bronze,USA,United States,1960 Rome,Fencing,Men's,foil individual,USA,1.0
Summer,1960,Gold,URS,USSR,1960 Rome,Fencing,Men's,foil team,RUS,
Summer,1960,Silver,ITA,Italy,1960 Rome,Fencing,Men's,foil team,ITA,0.8405496480330293
Summer,1960,Bronze,EUA,Unified Team of Germany,1960 Rome,Fencing,Men's,foil team,DEU,0.8815537317391245
Summer,1960,Gold,HUN,Hungary,1960 Rome,Fencing,Men's,sabre individual,HUN,
Summer,1960,Silver,HUN,Hungary,1960 Rome,Fencing,Men's,sabre individual,HUN,
Summer,1960,Bronze,ITA,Italy,1960 Rome,Fencing,Men's,sabre individual,ITA,0.8405496480330293
Summer,1960,Gold,HUN,Hungary,1960 Rome,Fencing,Men's,sabre team,HUN,
Summer,1960,Silver,POL,Poland,1960 Rome,Fencing,Men's,sabre team,POL,
Summer,1960,Bronze,ITA,Italy,1960 Rome,Fencing,Men's,sabre team,ITA,0.8405496480330293
Summer,1960,Gold,EUA,Unified Team of Germany,1960 Rome,Fencing,Women's,foil individual,DEU,0.8815537317391245
Summer,1960,Silver,URS,USSR,1960 Rome,Fencing,Women's,foil individual,RUS,
Summer,1960,Bronze,ROU,Romania,1960 Rome,Fencing,Women's,foil individual,ROU,
Summer,1960,Gold,URS,USSR,1960 Rome,Fencing,Women's,foil team,RUS,
Summer,1960,Silver,HUN,Hungary,1960 Rome,Fencing,Women's,foil team,HUN,
Summer,1960,Bronze,ITA,Italy,1960 Rome,Fencing,Women's,foil team,ITA,0.8405496480330293
Summer,1960,Gold,YUG,Yugoslavia,1960 Rome,Football,Men's,football,SRB,
Summer,1960,Silver,DEN,Denmark,1960 Rome,Football,Men's,football,DNK,0.9038300323011961
Summer,1960,Bronze,HUN,Hungary,1960 Rome,Football,Men's,football,HUN,
Summer,1960,Gold,URS,USSR,1960 Rome,Gymnastics Artistic,Men's,individual all-round,RUS,
Summer,1960,Silver,JPN,Japan,1960 Rome,Gymnastics Artistic,Men's,individual all-round,JPN,0.7783678332709423
Summer,1960,Bronze,URS,USSR,1960 Rome,Gymnastics Artistic,Men's,individual all-round,RUS,
Summer,1960,Gold,JPN,Japan,1960 Rome,Gymnastics Artistic,Men's,team competition,JPN,0.7783678332709423
Summer,1960,Silver,URS,USSR,1960 Rome,Gymnastics Artistic,Men's,team competition,RUS,
Summer,1960,Bronze,ITA,Italy,1960 Rome,Gymnastics Artistic,Men's,team competition,ITA,0.8405496480330293
Summer,1960,Gold,JPN,Japan,1960 Rome,Gymnastics Artistic,Men's,floor exercises,JPN,0.7783678332709423
Summer,1960,Silver,URS,USSR,1960 Rome,Gymnastics Artistic,Men's,floor exercises,RUS,
Summer,1960,Bronze,ITA,Italy,1960 Rome,Gymnastics Artistic,Men's,floor exercises,ITA,0.8405496480330293
Summer,1960,Gold,URS,USSR,1960 Rome,Gymnastics Artistic,Men's,parallel bars,RUS,
Summer,1960,Silver,ITA,Italy,1960 Rome,Gymnastics Artistic,Men's,parallel bars,ITA,0.8405496480330293
Summer,1960,Bronze,JPN,Japan,1960 Rome,Gymnastics Artistic,Men's,parallel bars,JPN,0.7783678332709423
Summer,1960,Gold,JPN,Japan,1960 Rome,Gymnastics Artistic,Men's,vault,JPN,0.7783678332709423
Summer,1960,Gold,URS,USSR,1960 Rome,Gymnastics Artistic,Men's,vault,RUS,
Summer,1960,Bronze,URS,USSR,1960 Rome,Gymnastics Artistic,Men's,vault,RUS,
Summer,1960,Gold,URS,USSR,1960 Rome,Gymnastics Artistic,Men's,rings,RUS,
Summer,1960,Silver,URS,USSR,1960 Rome,Gymnastics Artistic,Men's,rings,RUS,
Summer,1960,Bronze,BUL,Bulgaria,1960 Rome,Gymnastics Artistic,Men's,rings,BGR,
Summer,1960,Bronze,JPN,Japan,1960 Rome,Gymnastics Artistic,Men's,rings,JPN,0.7783678332709423
Summer,1960,Gold,FIN,Finland,1960 Rome,Gymnastics Artistic,Men's,pommel horse,FIN,0.8847090845153536
Summer,1960,Gold,URS,USSR,1960 Rome,Gymnastics Artistic,Men's,pommel horse,RUS,
Summer,1960,Bronze,JPN,Japan,1960 Rome,Gymnastics Artistic,Men's,pommel horse,JPN,0.7783678332709423
Summer,1960,Gold,JPN,Japan,1960 Rome,Gymnastics Artistic,Men's,horizontal bar,JPN,0.7783678332709423
Summer,1960,Silver,JPN,Japan,1960 Rome,Gymnastics Artistic,Men's,horizontal bar,JPN,0.7783678332709423
Summer,1960,Bronze,URS,USSR,1960 Rome,Gymnastics Artistic,Men's,horizontal bar,RUS,
