country,country_wb,gdp_country_code,year,season,medal_count,gdp_per_capita
Argentina,Argentina,ARG,1960,Summer,2,778.251706763404
Australia,Australia,AUS,1960,Summer,22,1813.43109917039
Austria,Austria,AUT,1960,Summer,2,939.914814681174
Belgium,Belgium,BEL,1960,Summer,4,1290.28607216192
Brazil,Brazil,BRA,1960,Summer,2,235.266009502589
Bulgaria,Bulgaria,BGR,1960,Summer,7,2238.80295786574
Canada,Canada,CAN,1960,Summer,1,2264.94849658191
Czechoslovakia,Czechia,CZE,1960,Summer,8,3969.36733543794
Denmark,Denmark,DNK,1960,Summer,6,1389.0213943225
Ethiopia,Ethiopia,ETH,1960,Summer,1,75.3396090705961
Finland,Finland,FIN,1960,Summer,5,1191.85508873415
France,France,FRA,1960,Summer,5,1306.79629911648
Ghana,Ghana,GHA,1960,Summer,1,174.858856531804
Great Britain,United Kingdom,GBR,1960,Summer,20,1397.5948032844
Greece,Greece,GRC,1960,Summer,1,513.085862390915
Hungary,Hungary,HUN,1960,Summer,21,476.434350138292
India,India,IND,1960,Summer,1,84.9328084793106
Iran,"Iran, Islamic Rep.",IRN,1960,Summer,4,195.57752721271
Iraq,Iraq,IRQ,1960,Summer,1,218.917802531101
Italy,Italy,ITA,1960,Summer,36,836.905850281885
Japan,Japan,JPN,1960,Summer,18,508.702779291773
Mexico,Mexico,MEX,1960,Summer,1,355.075199563018
Morocco,Morocco,MAR,1960,Summer,1,174.784133911133
Netherlands,Netherlands,NLD,1960,Summer,3,1156.38597727767
New Zealand,New Zealand,NZL,1960,Summer,3,2334.1337214332
Norway,Norway,NOR,1960,Summer,1,1451.2850779894
Pakistan,Pakistan,PAK,1960,Summer,2,82.0241000071912
Poland,Poland,POL,1960,Summer,21,1731.2095094382
Portugal,Portugal,PRT,1960,Summer,1,376.976430250874
Romania,Romania,ROU,1960,Summer,10,1658.75873899995
"Singapore, British",Singapore,SGP,1960,Summer,1,428.056183371291
South Africa,South Africa,ZAF,1960,Summer,3,532.147504330332
Spain,Spain,ESP,1960,Summer,1,407.96302786933
Sweden,Sweden,SWE,1960,Summer,6,2128.36441205712
Switzerland,Switzerland,CHE,1960,Summer,6,1954.3113206427
Turkey,Turkiye,TUR,1960,Summer,9,267.091207552765
USSR,Russian Federation,RUS,1960,Summer,103,3778.01977539063
Unified Team of Germany,Germany,DEU,1960,Summer,42,1162.12266831735
"United Arab Republic (Egypt, Syria)","Egypt, Arab Rep.",EGY,1960,Summer,2,156.387397481519
United States,United States,USA,1960,Summer,71,2999.86487154495
Venezuela,"Venezuela, RB",VEN,1960,Summer,1,939.197766577539
Yugoslavia,Serbia,SRB,1960,Summer,2,2349.40645150289
Austria,Austria,AUT,1960,Winter,6,939.914814681174
Canada,Canada,CAN,1960,Winter,4,2264.94849658191
Czechoslovakia,Czechia,CZE,1960,Winter,1,3969.36733543794
Finland,Finland,FIN,1960,Winter,8,1191.85508873415
France,France,FRA,1960,Winter,3,1306.79629911648
Italy,Italy,ITA,1960,Winter,1,836.905850281885
Netherlands,Netherlands,NLD,1960,Winter,2,1156.38597727767
Norway,Norway,NOR,1960,Winter,6,1451.2850779894
Poland,Poland,POL,1960,Winter,2,1731.2095094382
Sweden,Sweden,SWE,1960,Winter,7,2128.36441205712
Switzerland,Switzerland,CHE,1960,Winter,2,1954.3113206427
USSR,Russian Federation,RUS,1960,Winter,21,3778.01977539063
Unified Team of Germany,Germany,DEU,1960,Winter,8,1162.12266831735
United States,United States,USA,1960,Winter,10,2999.86487154495
Argentina,Argentina,ARG,1964,Summer,1,1176.20086190313
Australia,Australia,AUS,1964,Summer,18,2134.48946124608
Bahamas,"Bahamas, The",BHS,1964,Summer,1,1883.44386022276
Belgium,Belgium,BEL,1964,Summer,3,1724.01894179056
Brazil,Brazil,BRA,1964,Summer,1,257.259726897671
Bulgaria,Bulgaria,BGR,1964,Summer,10,2238.80295786574
Canada,Canada,CAN,1964,Summer,4,2561.63849088572
Cuba,Cuba,CUB,1964,Summer,1,645.144917797076
Czechoslovakia,Czechia,CZE,1964,Summer,14,3969.36733543794
Denmark,Denmark,DNK,1964,Summer,6,2049.39724281483
Ethiopia,Ethiopia,ETH,1964,Summer,1,83.8368648270969
Finland,Finland,FIN,1964,Summer,5,1725.60483489826
France,France,FRA,1964,Summer,15,1891.12061521027
Ghana,Ghana,GHA,1964,Summer,1,224.968154393354
Great Britain,United Kingdom,GBR,1964,Summer,18,1748.2881176141
Hungary,Hungary,HUN,1964,Summer,22,476.434350138292
India,India,IND,1964,Summer,1,117.856430772855
Iran,"Iran, Islamic Rep.",IRN,1964,Summer,2,221.731727810865
Ireland,Ireland,IRL,1964,Summer,1,994.607331611746
Italy,Italy,ITA,1964,Summer,27,1271.80119301518
Japan,Japan,JPN,1964,Summer,29,902.867721515126
Kenya,Kenya,KEN,1964,Summer,1,111.300544823892
