country,country_wb,gdp_country_code,year,season,medal_count,gdp_per_capita
Korea Republic,"Korea, Rep.",KOR,1964,Summer,3,124.24136735879
Mexico,Mexico,MEX,1964,Summer,1,480.704214437745
Netherlands,Netherlands,NLD,1964,Summer,10,1668.33086114697
New Zealand,New Zealand,NZL,1964,Summer,5,2839.31554692453
Nigeria,Nigeria,NGA,1964,Summer,1,113.297345671875
Pakistan,Pakistan,PAK,1964,Summer,1,102.45976384531
Philippines,Philippines,PHL,1964,Summer,1,188.153783582113
Poland,Poland,POL,1964,Summer,23,1731.2095094382
Romania,Romania,ROU,1964,Summer,12,1658.75873899995
Sweden,Sweden,SWE,1964,Summer,8,2961.02884624727
Switzerland,Switzerland,CHE,1964,Summer,4,2734.93009044177
Trinidad and Tobago,Trinidad and Tobago,TTO,1964,Summer,3,779.766014894579
Tunisia,Tunisia,TUN,1964,Summer,2,228.484793689273
Turkey,Turkiye,TUR,1964,Summer,6,354.365541117168
USSR,Russian Federation,RUS,1964,Summer,96,3778.01977539063
Unified Team of Germany,Germany,DEU,1964,Summer,50,1637.45522773672
United States,United States,USA,1964,Summer,90,3565.31443016356
Uruguay,Uruguay,URY,1964,Summer,1,744.654270146069
Yugoslavia,Serbia,SRB,1964,Summer,5,2349.40645150289
Austria,Austria,AUT,1964,Winter,12,1275.45715281679
Canada,Canada,CAN,1964,Winter,3,2561.63849088572
Czechoslovakia,Czechia,CZE,1964,Winter,1,3969.36733543794
Finland,Finland,FIN,1964,Winter,10,1725.60483489826
France,France,FRA,1964,Winter,7,1891.12061521027
Great Britain,United Kingdom,GBR,1964,Winter,1,1748.2881176141
Italy,Italy,ITA,1964,Winter,4,1271.80119301518
Netherlands,Netherlands,NLD,1964,Winter,2,1668.33086114697
Norway,Norway,NOR,1964,Winter,15,1950.69324222931
Sweden,Sweden,SWE,1964,Winter,7,2961.02884624727
USSR,Russian Federation,RUS,1964,Winter,25,3778.01977539063
Unified Team of Germany,Germany,DEU,1964,Winter,9,1637.45522773672
United States,United States,USA,1964,Winter,7,3565.31443016356
Argentina,Argentina,ARG,1968,Summer,2,1141.95211617341
Australia,Australia,AUS,1968,Summer,17,2728.23426114901
Austria,Austria,AUT,1968,Summer,4,1685.66211669148
Belgium,Belgium,BEL,1968,Summer,2,2251.31575906782
Brazil,Brazil,BRA,1968,Summer,3,373.925432639683
Bulgaria,Bulgaria,BGR,1968,Summer,9,2238.80295786574
Cameroon,Cameroon,CMR,1968,Summer,1,170.782666507465
Canada,Canada,CAN,1968,Summer,5,3473.23722551871
Cuba,Cuba,CUB,1968,Summer,4,645.144917797076
Czechoslovakia,Czechia,CZE,1968,Summer,13,3969.36733543794
Denmark,Denmark,DNK,1968,Summer,8,2776.13544525805
Ethiopia,Ethiopia,ETH,1968,Summer,2,99.4743651000667
Federal Republic of Germany,Germany,DEU,1968,Summer,26,2025.08159465853
Finland,Finland,FIN,1968,Summer,4,1927.29380452918
France,France,FRA,1968,Summer,15,2518.15825593491
German Democratic Republic,Germany,DEU,1968,Summer,25,2025.08159465853
Great Britain,United Kingdom,GBR,1968,Summer,13,1951.75859587532
Greece,Greece,GRC,1968,Summer,1,1138.38219032671
Hungary,Hungary,HUN,1968,Summer,32,476.434350138292
India,India,IND,1968,Summer,1,101.556802521195
Iran,"Iran, Islamic Rep.",IRN,1968,Summer,5,314.285456656503
Italy,Italy,ITA,1968,Summer,16,1718.49646427147
Jamaica,Jamaica,JAM,1968,Summer,1,591.045817173244
Japan,Japan,JPN,1968,Summer,25,1553.27139379996
Kenya,Kenya,KEN,1968,Summer,9,128.654646882243
Korea Republic,"Korea, Rep.",KOR,1968,Summer,2,199.982134957643
Mexico,Mexico,MEX,1968,Summer,9,615.922912128842
Mongolia,Mongolia,MNG,1968,Summer,4,1235.14422497627
Netherlands,Netherlands,NLD,1968,Summer,7,2364.3594192663
New Zealand,New Zealand,NZL,1968,Summer,3,1902.42182426883
Norway,Norway,NOR,1968,Summer,2,2679.71300438189
Pakistan,Pakistan,PAK,1968,Summer,1,141.558306459346
Poland,Poland,POL,1968,Summer,18,1731.2095094382
Romania,Romania,ROU,1968,Summer,15,1658.75873899995
Sweden,Sweden,SWE,1968,Summer,4,3953.08297234501
Switzerland,Switzerland,CHE,1968,Summer,5,3413.49358157003
Tunisia,Tunisia,TUN,1968,Summer,2,248.91225549272
Turkey,Turkiye,TUR,1968,Summer,2,501.12130904111
USSR,Russian Federation,RUS,1968,Summer,91,3778.01977539063
Uganda,Uganda,UGA,1968,Summer,2,106.851228104531
United States,United States,USA,1968,Summer,107,4684.58840293763
Venezuela,"Venezuela, RB",VEN,1968,Summer,1,938.015078662499
Yugoslavia,Serbia,SRB,1968,Summer,8,2349.40645150289
Austria,Austria,AUT,1968,Winter,11,1685.66211669148
Canada,Canada,CAN,1968,Winter,3,3473.23722551871
Czechoslovakia,Czechia,CZE,1968,Winter,4,3969.36733543794
Federal Republic of Germany,Germany,DEU,1968,Winter,7,2025.08159465853
Finland,Finland,FIN,1968,Winter,5,1927.29380452918
France,France,FRA,1968,Winter,9,2518.15825593491
German Democratic Republic,Germany,DEU,1968,Winter,5,2025.08159465853
Italy,Italy,ITA,1968,Winter,4,1718.49646427147
Netherlands,Netherlands,NLD,1968,Winter,9,2364.3594192663
Norway,Norway,NOR,1968,Winter,14,2679.71300438189
Romania,Romania,ROU,1968,Winter,1,1658.75873899995
Sweden,Sweden,SWE,1968,Winter,8,3953.08297234501
Switzerland,Switzerland,CHE,1968,Winter,6,3413.49358157003
USSR,Russian Federation,RUS,1968,Winter,13,3778.01977539063
United States,United States,USA,1968,Winter,7,4684.58840293763
Argentina,Argentina,ARG,1972,Summer,1,1409.37097316211
Australia,Australia,AUS,1972,Summer,17,3955.22430403017
Austria,Austria,AUT,1972,Summer,3,2912.59577111524
Belgium,Belgium,BEL,1972,Summer,2,3831.63189999433
Brazil,Brazil,BRA,1972,Summer,2,583.492034946156
Bulgaria,Bulgaria,BGR,1972,Summer,21,2238.80295786574
Canada,Canada,CAN,1972,Summer,5,5106.73708049128
Colombia,Colombia,COL,1972,Summer,3,397.41211740514
Cuba,Cuba,CUB,1972,Summer,8,891.631749208781
Czechoslovakia,Czechia,CZE,1972,Summer,8,3969.36733543794
Denmark,Denmark,DNK,1972,Summer,1,4653.95587889115
Ethiopia,Ethiopia,ETH,1972,Summer,2,119.839997124757
Federal Republic of Germany,Germany,DEU,1972,Summer,40,3823.94032602696
Finland,Finland,FIN,1972,Summer,8,3177.9287929756
France,France,FRA,1972,Summer,13,3809.09946046394
German Democratic Republic,Germany,DEU,1972,Summer,66,3823.94032602696
Ghana,Ghana,GHA,1972,Summer,1,223.80286383233
Great Britain,United Kingdom,GBR,1972,Summer,18,3030.43251411977
Greece,Greece,GRC,1972,Summer,2,1873.25412773592
Hungary,Hungary,HUN,1972,Summer,35,709.652502602719
India,India,IND,1972,Summer,1,125.270705961882
Iran,"Iran, Islamic Rep.",IRN,1972,Summer,3,554.748034126016
Italy,Italy,ITA,1972,Summer,18,2677.29372999774
Jamaica,Jamaica,JAM,1972,Summer,1,970.802906405502
Japan,Japan,JPN,1972,Summer,29,3031.43860570759
Kenya,Kenya,KEN,1972,Summer,9,172.642044778441
Korea Republic,"Korea, Rep.",KOR,1972,Summer,1,328.021411521648
Lebanon,Lebanon,LBN,1972,Summer,1,959.153901867443
Mexico,Mexico,MEX,1972,Summer,1,836.569673446138
Mongolia,Mongolia,MNG,1972,Summer,1,1235.14422497627
Netherlands,Netherlands,NLD,1972,Summer,5,4110.49164551948
New Zealand,New Zealand,NZL,1972,Summer,3,3294.64894268304
Niger,Niger,NER,1972,Summer,1,151.437947747318
Nigeria,Nigeria,NGA,1972,Summer,1,209.454776294345
Norway,Norway,NOR,1972,Summer,4,4413.57569168528
Pakistan,Pakistan,PAK,1972,Summer,1,148.073976270617
Poland,Poland,POL,1972,Summer,21,1731.2095094382
Romania,Romania,ROU,1972,Summer,16,1658.75873899995
Spain,Spain,ESP,1972,Summer,1,1707.58800052655
Sweden,Sweden,SWE,1972,Summer,16,6018.39052977191
Switzerland,Switzerland,CHE,1972,Summer,3,5884.77524107186
Tunisia,Tunisia,TUN,1972,Summer,1,414.626612581104
Turkey,Turkiye,TUR,1972,Summer,1,537.337529232528
USSR,Russian Federation,RUS,1972,Summer,99,3778.01977539063
Uganda,Uganda,UGA,1972,Summer,2,136.964736487473
United States,United States,USA,1972,Summer,94,6094.01798986165
Yugoslavia,Serbia,SRB,1972,Summer,5,2349.40645150289
Austria,Austria,AUT,1972,Winter,5,2912.59577111524
Canada,Canada,CAN,1972,Winter,1,5106.73708049128
Czechoslovakia,Czechia,CZE,1972,Winter,3,3969.36733543794
Federal Republic of Germany,Germany,DEU,1972,Winter,5,3823.94032602696
Finland,Finland,FIN,1972,Winter,5,3177.9287929756
France,France,FRA,1972,Winter,3,3809.09946046394
German Democratic Republic,Germany,DEU,1972,Winter,14,3823.94032602696
Italy,Italy,ITA,1972,Winter,5,2677.29372999774
Japan,Japan,JPN,1972,Winter,3,3031.43860570759
Netherlands,Netherlands,NLD,1972,Winter,9,4110.49164551948
Norway,Norway,NOR,1972,Winter,12,4413.57569168528
Poland,Poland,POL,1972,Winter,1,1731.2095094382
Spain,Spain,ESP,1972,Winter,1,1707.58800052655
Sweden,Sweden,SWE,1972,Winter,4,6018.39052977191
Switzerland,Switzerland,CHE,1972,Winter,10,5884.77524107186
USSR,Russian Federation,RUS,1972,Winter,16,3778.01977539063
United States,United States,USA,1972,Winter,8,6094.01798986165
Australia,Australia,AUS,1976,Summer,5,7497.28175413577
Austria,Austria,AUT,1976,Summer,1,5656.1451383787
Belgium,Belgium,BEL,1976,Summer,6,7243.04734119583
Bermuda,Bermuda,BMU,1976,Summer,1,7259.91355008457
Brazil,Brazil,BRA,1976,Summer,2,1389.74952306555
Bulgaria,Bulgaria,BGR,1976,Summer,22,2238.80295786574
Canada,Canada,CAN,1976,Summer,11,8838.94710677652
Cuba,Cuba,CUB,1976,Summer,13,1440.73046137146
Czechoslovakia,Czechia,CZE,1976,Summer,8,3969.36733543794
Denmark,Denmark,DNK,1976,Summer,3,8773.3396162771
Federal Republic of Germany,Germany,DEU,1976,Summer,39,6659.16546576017
Finland,Finland,FIN,1976,Summer,6,6740.29145314637
France,France,FRA,1976,Summer,9,6792.3099035538
German Democratic Republic,Germany,DEU,1976,Summer,90,6659.16546576017
Great Britain,United Kingdom,GBR,1976,Summer,13,4138.16778761535
Hungary,Hungary,HUN,1976,Summer,22,1248.79851313891
Iran,"Iran, Islamic Rep.",IRN,1976,Summer,2,1953.51969678549
Italy,Italy,ITA,1976,Summer,13,4042.39482463789
Jamaica,Jamaica,JAM,1976,Summer,2,1449.977882067
Japan,Japan,JPN,1976,Summer,25,5310.43140904992
Korea Republic,"Korea, Rep.",KOR,1976,Summer,6,847.205737881176
Mexico,Mexico,MEX,1976,Summer,2,1465.49877862474
Mongolia,Mongolia,MNG,1976,Summer,1,1235.14422497627
Netherlands,Netherlands,NLD,1976,Summer,5,7937.35246713998
New Zealand,New Zealand,NZL,1976,Summer,4,4373.84099791231
Norway,Norway,NOR,1976,Summer,2,8927.20162734477
Pakistan,Pakistan,PAK,1976,Summer,1,183.859733422347
Poland,Poland,POL,1976,Summer,26,1731.2095094382
Portugal,Portugal,PRT,1976,Summer,2,2173.28393425975
Puerto Rico,Puerto Rico (US),PRI,1976,Summer,1,2946.46195251152
Romania,Romania,ROU,1976,Summer,27,1658.75873899995
Spain,Spain,ESP,1976,Summer,2,3276.97023260494
Sweden,Sweden,SWE,1976,Summer,5,10852.5192441428
Switzerland,Switzerland,CHE,1976,Summer,4,10864.971231108
Thailand,Thailand,THA,1976,Summer,1,405.408734060752
Trinidad and Tobago,Trinidad and Tobago,TTO,1976,Summer,1,2344.93028321949
USSR,Russian Federation,RUS,1976,Summer,125,3778.01977539063
United States,United States,USA,1976,Summer,94,8592.25353727612
Venezuela,"Venezuela, RB",VEN,1976,Summer,1,2309.19293494983
Yugoslavia,Serbia,SRB,1976,Summer,8,2349.40645150289
Austria,Austria,AUT,1976,Winter,6,5656.1451383787
Canada,Canada,CAN,1976,Winter,3,8838.94710677652
Czechoslovakia,Czechia,CZE,1976,Winter,1,3969.36733543794
Federal Republic of Germany,Germany,DEU,1976,Winter,10,6659.16546576017
Finland,Finland,FIN,1976,Winter,7,6740.29145314637
France,France,FRA,1976,Winter,1,6792.3099035538
German Democratic Republic,Germany,DEU,1976,Winter,19,6659.16546576017
Great Britain,United Kingdom,GBR,1976,Winter,1,4138.16778761535
Italy,Italy,ITA,1976,Winter,4,4042.39482463789
Liechtenstein,Liechtenstein,LIE,1976,Winter,2,11326.3488431219
Netherlands,Netherlands,NLD,1976,Winter,6,7937.35246713998
Norway,Norway,NOR,1976,Winter,7,8927.20162734477
Sweden,Sweden,SWE,1976,Winter,2,10852.5192441428
Switzerland,Switzerland,CHE,1976,Winter,5,10864.971231108
USSR,Russian Federation,RUS,1976,Winter,27,3778.01977539063
United States,United States,USA,1976,Winter,10,8592.25353727612
Australia,Australia,AUS,1980,Summer,9,10223.2886675105
Austria,Austria,AUT,1980,Summer,4,10826.9718274995
Belgium,Belgium,BEL,1980,Summer,1,12864.0025661396
Brazil,Brazil,BRA,1980,Summer,4,1958.57159232662
Bulgaria,Bulgaria,BGR,1980,Summer,41,2238.80295786574
Cuba,Cuba,CUB,1980,Summer,20,2030.93362280165
Czechoslovakia,Czechia,CZE,1980,Summer,14,3969.36733543794
Denmark,Denmark,DNK,1980,Summer,5,13822.1578405912
Ethiopia,Ethiopia,ETH,1980,Summer,4,203.685394440965
Finland,Finland,FIN,1980,Summer,8,11224.9380036353
France,France,FRA,1980,Summer,14,12565.1639377144
German Democratic Republic,Germany,DEU,1980,Summer,126,12182.7800196802
Great Britain,United Kingdom,GBR,1980,Summer,21,10032.062080015
Greece,Greece,GRC,1980,Summer,3,5811.69069600941
Guyana,Guyana,GUY,1980,Summer,1,778.958814102357
Hungary,Hungary,HUN,1980,Summer,32,2158.22181355246
India,India,IND,1980,Summer,1,271.080945953678
Ireland,Ireland,IRL,1980,Summer,2,6372.43777545453
Italy,Italy,ITA,1980,Summer,15,8476.41045000836
Jamaica,Jamaica,JAM,1980,Summer,3,1248.74484727418
Lebanon,Lebanon,LBN,1980,Summer,1,959.153901867443
Mexico,Mexico,MEX,1980,Summer,4,3054.62162291784
Mongolia,Mongolia,MNG,1980,Summer,4,1235.14422497627
Netherlands,Netherlands,NLD,1980,Summer,3,13812.1600098191
Poland,Poland,POL,1980,Summer,32,1731.2095094382
Romania,Romania,ROU,1980,Summer,25,1658.75873899995
Spain,Spain,ESP,1980,Summer,6,6204.14321544225
Sweden,Sweden,SWE,1980,Summer,12,17073.0446711494
Switzerland,Switzerland,CHE,1980,Summer,2,19393.8805480097
Tanzania,Tanzania,TZA,1980,Summer,2,611.211791992188
USSR,Russian Federation,RUS,1980,Summer,195,3778.01977539063
Uganda,Uganda,UGA,1980,Summer,1,93.7506991135184
Venezuela,"Venezuela, RB",VEN,1980,Summer,1,3874.40470623155
Yugoslavia,Serbia,SRB,1980,Summer,9,2349.40645150289
Zimbabwe,Zimbabwe,ZWE,1980,Summer,1,949.011610530352
Austria,Austria,AUT,1980,Winter,7,10826.9718274995
Bulgaria,Bulgaria,BGR,1980,Winter,1,2238.80295786574
Canada,Canada,CAN,1980,Winter,2,11208.2027394178
Czechoslovakia,Czechia,CZE,1980,Winter,1,3969.36733543794
Federal Republic of Germany,Germany,DEU,1980,Winter,5,12182.7800196802
Finland,Finland,FIN,1980,Winter,9,11224.9380036353
France,France,FRA,1980,Winter,1,12565.1639377144
German Democratic Republic,Germany,DEU,1980,Winter,23,12182.7800196802
Great Britain,United Kingdom,GBR,1980,Winter,1,10032.062080015
Hungary,Hungary,HUN,1980,Winter,1,2158.22181355246
Italy,Italy,ITA,1980,Winter,2,8476.41045000836
Japan,Japan,JPN,1980,Winter,1,9668.74626395709
Liechtenstein,Liechtenstein,LIE,1980,Winter,4,20958.7395302666
Netherlands,Netherlands,NLD,1980,Winter,4,13812.1600098191
Norway,Norway,NOR,1980,Winter,10,15772.2409073814
Sweden,Sweden,SWE,1980,Winter,4,17073.0446711494
Switzerland,Switzerland,CHE,1980,Winter,5,19393.8805480097
USSR,Russian Federation,RUS,1980,Winter,22,3778.01977539063
United States,United States,USA,1980,Winter,12,12574.7915062163
Algeria,Algeria,DZA,1984,Summer,2,2524.38071403143
Australia,Australia,AUS,1984,Summer,24,12436.2969052038
Austria,Austria,AUT,1984,Summer,3,8955.84829191534
Belgium,Belgium,BEL,1984,Summer,4,8457.26880316374
Brazil,Brazil,BRA,1984,Summer,8,1419.73154606978
Cameroon,Cameroon,CMR,1984,Summer,1,771.702146026357
Canada,Canada,CAN,1984,Summer,44,13930.4745502555
China,China,CHN,1984,Summer,32,251.192686463827
Colombia,Colombia,COL,1984,Summer,1,1335.52821812362
Denmark,Denmark,DNK,1984,Summer,6,11516.6821578436
Dominican Republic,Dominican Republic,DOM,1984,Summer,1,1843.52460788928
Egypt,"Egypt, Arab Rep.",EGY,1984,Summer,1,689.807675510205
Federal Republic of Germany,Germany,DEU,1984,Summer,59,9347.29068412377
Finland,Finland,FIN,1984,Summer,12,10830.2185222663
France,France,FRA,1984,Summer,28,9311.89426452129
Great Britain,United Kingdom,GBR,1984,Summer,37,8179.19444064991
Greece,Greece,GRC,1984,Summer,2,4785.07463033775
Iceland,Iceland,ISL,1984,Summer,1,12377.5860216394
Ireland,Ireland,IRL,1984,Summer,1,5692.02738597285
Italy,Italy,ITA,1984,Summer,32,7757.55374836822
Ivory Coast,Cote d'Ivoire,CIV,1984,Summer,1,708.940252199945
Jamaica,Jamaica,JAM,1984,Summer,3,1048.13405395534
Japan,Japan,JPN,1984,Summer,32,11207.4523524293
Kenya,Kenya,KEN,1984,Summer,3,334.40283575753
Korea Republic,"Korea, Rep.",KOR,1984,Summer,19,2468.68667303898
Mexico,Mexico,MEX,1984,Summer,6,2506.30742754755
Morocco,Morocco,MAR,1984,Summer,2,681.909729003906
Netherlands,Netherlands,NLD,1984,Summer,13,9991.84377655651
New Zealand,New Zealand,NZL,1984,Summer,11,6713.76013104154
Nigeria,Nigeria,NGA,1984,Summer,2,890.434106332302
Norway,Norway,NOR,1984,Summer,3,14989.4857665906
Pakistan,Pakistan,PAK,1984,Summer,1,327.345625152291
Peru,Peru,PER,1984,Summer,1,917.896274683145
Portugal,Portugal,PRT,1984,Summer,3,2522.74747620658
Puerto Rico,Puerto Rico (US),PRI,1984,Summer,2,5730.11700890201
Romania,Romania,ROU,1984,Summer,53,1658.75873899995
Spain,Spain,ESP,1984,Summer,5,4486.78173863382
Sweden,Sweden,SWE,1984,Summer,19,13080.0302290066
Switzerland,Switzerland,CHE,1984,Summer,8,16991.2458841517
Syria,Syrian Arab Republic,SYR,1984,Summer,1,1706.21944810524
Thailand,Thailand,THA,1984,Summer,1,846.934168430884
Turkey,Turkiye,TUR,1984,Summer,3,1209.05149383313
United States,United States,USA,1984,Summer,174,17121.2254849995
Venezuela,"Venezuela, RB",VEN,1984,Summer,3,3519.80146489308
Yugoslavia,Serbia,SRB,1984,Summer,18,2349.40645150289
Zambia,Zambia,ZMB,1984,Summer,1,413.269974271735
Austria,Austria,AUT,1984,Winter,1,8955.84829191534
Canada,Canada,CAN,1984,Winter,4,13930.4745502555
Czechoslovakia,Czechia,CZE,1984,Winter,6,3969.36733543794
Federal Republic of Germany,Germany,DEU,1984,Winter,4,9347.29068412377
Finland,Finland,FIN,1984,Winter,13,10830.2185222663
France,France,FRA,1984,Winter,3,9311.89426452129
German Democratic Republic,Germany,DEU,1984,Winter,24,9347.29068412377
Great Britain,United Kingdom,GBR,1984,Winter,1,8179.19444064991
Italy,Italy,ITA,1984,Winter,2,7757.55374836822
Japan,Japan,JPN,1984,Winter,1,11207.4523524293
Liechtenstein,Liechtenstein,LIE,1984,Winter,2,18898.3678693391
Norway,Norway,NOR,1984,Winter,9,14989.4857665906
Sweden,Sweden,SWE,1984,Winter,8,13080.0302290066
Switzerland,Switzerland,CHE,1984,Winter,5,16991.2458841517
USSR,Russian Federation,RUS,1984,Winter,25,3778.01977539063
United States,United States,USA,1984,Winter,8,17121.2254849995
Yugoslavia,Serbia,SRB,1984,Winter,1,2349.40645150289
Argentina,Argentina,ARG,1988,Summer,2,3992.70330179156
Australia,Australia,AUS,1988,Summer,14,14303.093047615
Austria,Austria,AUT,1988,Summer,1,17509.7658683817
Belgium,Belgium,BEL,1988,Summer,2,16391.093827791
Brazil,Brazil,BRA,1988,Summer,6,2140.65027561164
Bulgaria,Bulgaria,BGR,1988,Summer,35,2511.39306259489
Canada,Canada,CAN,1988,Summer,10,19012.5723278349
Chile,Chile,CHL,1988,Summer,1,2013.53987790886
China,China,CHN,1988,Summer,28,284.023573149686
Colombia,Colombia,COL,1988,Summer,1,1259.6174112078
Costa Rica,Costa Rica,CRI,1988,Summer,1,1554.74048522018
Czechoslovakia,Czechia,CZE,1988,Summer,8,3969.36733543794
Denmark,Denmark,DNK,1988,Summer,4,22524.5792595476
Djibouti,Djibouti,DJI,1988,Summer,1,816.874614065329
Federal Republic of Germany,Germany,DEU,1988,Summer,40,17996.9783507619
Finland,Finland,FIN,1988,Summer,4,22043.7701596288
France,France,FRA,1988,Summer,16,17549.6440487161
German Democratic Republic,Germany,DEU,1988,Summer,102,17996.9783507619
Great Britain,United Kingdom,GBR,1988,Summer,24,15987.1680775688
Greece,Greece,GRC,1988,Summer,1,7492.35204811251
Hungary,Hungary,HUN,1988,Summer,23,2812.23754602897
Indonesia,Indonesia,IDN,1988,Summer,1,476.662483405818
Iran,"Iran, Islamic Rep.",IRN,1988,Summer,1,2234.46235141335
Italy,Italy,ITA,1988,Summer,14,15780.9495122174
Jamaica,Jamaica,JAM,1988,Summer,2,1632.01481656159
Japan,Japan,JPN,1988,Summer,14,25499.8811728107
Kenya,Kenya,KEN,1988,Summer,9,391.238771204282
Korea Republic,"Korea, Rep.",KOR,1988,Summer,33,4888.68509195605
Mexico,Mexico,MEX,1988,Summer,2,2278.81222720992
Mongolia,Mongolia,MNG,1988,Summer,1,1543.33555521093
Morocco,Morocco,MAR,1988,Summer,3,1086.03527832031
Netherlands,Netherlands,NLD,1988,Summer,9,17770.6162376388
Netherlands Antilles,Curacao,CUW,1988,Summer,1,15841.2612359949
New Zealand,New Zealand,NZL,1988,Summer,13,13759.1556295922
Norway,Norway,NOR,1988,Summer,5,24207.281468963
Pakistan,Pakistan,PAK,1988,Summer,1,353.85454278549
Peru,Peru,PER,1988,Summer,1,733.299784874657
Philippines,Philippines,PHL,1988,Summer,1,722.343718454247
Poland,Poland,POL,1988,Summer,16,1731.2095094382
Portugal,Portugal,PRT,1988,Summer,1,5623.69699982123
Romania,Romania,ROU,1988,Summer,24,1753.19285632198
