Country Code,country_name,season,avg_medal_rank,avg_gdp_rank,total_medals,editions,window_start,window_end,window_efficiency,window_label
FIN,Finland,Winter,0.6333333333333333,0.8690962161698109,23,3,1960,1968,0.7287263729262257,1960-1968
FRA,France,Winter,0.5333333333333333,0.9103131371665271,19,3,1960,1968,0.5858789811530191,1960-1968
GBR,Great Britain,Winter,0.0,0.896774193548387,1,1,1960,1968,0.0,1960-1968
ITA,Italy,Winter,0.13333333333333333,0.8284240121906724,9,3,1960,1968,0.16094817553724525,1960-1968
NLD,Netherlands,Winter,0.3333333333333333,0.87816023866246,13,3,1960,1968,0.37958144613907674,1960-1968
NOR,Norway,Winter,0.8666666666666667,0.9275668018801108,35,3,1960,1968,0.934344205624863,1960-1968
SWE,Sweden,Winter,0.6,0.9784452600175992,22,3,1960,1968,0.6132177491352023,1960-1968
USA,United States,Winter,0.6666666666666666,0.9978494623655915,24,3,1960,1968,0.668103448275862,1960-1968
AUT,Austria,Winter,0.7611111111111111,0.8267071968118094,28,3,1963,1972,0.9206537865478017,1963-1972
CAN,Canada,Winter,0.09444444444444444,0.964681502868626,7,3,1963,1972,0.09790220312465787,1963-1972
CHE,Switzerland,Winter,0.5666666666666667,0.9745036243302869,16,2,1963,1972,0.5814926209803477,1963-1972
DEU,Federal Republic of Germany,Winter,0.9,0.874251497005988,12,1,1963,1972,1.0294520547945205,1963-1972
DEU,German Democratic Republic,Winter,1.0,0.9052631578947368,19,1,1963,1972,1.1046511627906979,1963-1972
DEU,Unified Team of Germany,Winter,0.7,0.864516129032258,9,1,1963,1972,0.8097014925373134,1963-1972
ESP,Spain,Winter,0.08333333333333337,0.7526315789473684,1,1,1963,1972,0.11072261072261078,1963-1972
FIN,Finland,Winter,0.5277777777777778,0.8679266255265361,20,3,1963,1972,0.6080903180699132,1963-1972
FRA,France,Winter,0.5166666666666666,0.9147575816109716,19,3,1963,1972,0.5648126640904899,1963-1972
GBR,Great Britain,Winter,0.0,0.896774193548387,1,1,1963,1972,0.0,1963-1972
ITA,Italy,Winter,0.3277777777777778,0.821289509266696,13,3,1963,1972,0.3991013815218953,1963-1972
JPN,Japan,Winter,0.25,0.8473684210526317,3,1,1963,1972,0.29503105590062106,1963-1972
NLD,Netherlands,Winter,0.5166666666666666,0.9007333380776646,20,3,1963,1972,0.573606687823203,1963-1972
NOR,Norway,Winter,0.9722222222222222,0.9331808369678302,41,3,1963,1972,1.0418368913159948,1963-1972
SWE,Sweden,Winter,0.4777777777777778,0.9860475991988857,19,3,1963,1972,0.4845382496402286,1963-1972
USA,United States,Winter,0.5555555555555556,0.9960950764006791,22,3,1963,1972,0.5577334621138951,1963-1972
AUT,Austria,Winter,0.6833333333333332,0.8340788850947048,22,3,1967,1976,0.8192670328247725,1967-1976
CAN,Canada,Winter,0.13888888888888892,0.9608349226668745,7,3,1967,1976,0.1445502090030113,1967-1976
CHE,Switzerland,Winter,0.5444444444444444,0.9709749248112565,21,3,1967,1976,0.5607193662084287,1967-1976
DEU,Federal Republic of Germany,Winter,0.95,0.8752700783999012,41,2,1967,1976,1.0853792714320978,1967-1976
DEU,German Democratic Republic,Winter,1.0,0.9052631578947368,19,1,1967,1976,1.1046511627906979,1967-1976
ESP,Spain,Winter,0.08333333333333337,0.7526315789473684,1,1,1967,1976,0.11072261072261078,1967-1976
FIN,Finland,Winter,0.5388888888888889,0.8649668649678396,17,3,1967,1976,0.6230168006596708,1967-1976
FRA,France,Winter,0.3444444444444444,0.90491388357306,13,3,1967,1976,0.3806378161471041,1967-1976
GBR,Great Britain,Winter,0.08333333333333337,0.788659793814433,1,1,1967,1976,0.10566448801742924,1967-1976
ITA,Italy,Winter,0.36666666666666664,0.8050385393077112,13,3,1967,1976,0.4554647371068468,1967-1976
JPN,Japan,Winter,0.25,0.8473684210526317,3,1,1967,1976,0.29503105590062106,1967-1976
LIE,Liechtenstein,Winter,0.25,0.9742268041237113,2,1,1967,1976,0.2566137566137566,1967-1976
NLD,Netherlands,Winter,0.7055555555555556,0.9179708948895481,24,3,1967,1976,0.7686034050572479,1967-1976
NOR,Norway,Winter,0.9166666666666666,0.9418051579965409,33,3,1967,1976,0.9733081825721255,1967-1976
SWE,Sweden,Winter,0.36111111111111116,0.9787535076347575,14,3,1967,1976,0.3689500045662849,1967-1976
USA,United States,Winter,0.6611111111111111,0.9741906312172183,25,3,1967,1976,0.6786260203355426,1967-1976
AUT,Austria,Winter,0.6611111111111111,0.8537014756623619,18,3,1971,1980,0.774405491800485,1971-1980
BGR,Bulgaria,Winter,0.2666666666666667,0.6376811594202898,1,1,1971,1980,0.4181818181818183,1971-1980
CAN,Canada,Winter,0.27222222222222225,0.9301716116078332,6,3,1971,1980,0.2926580631198547,1971-1980
CHE,Switzerland,Winter,0.6666666666666666,0.9712931289826239,20,3,1971,1980,0.6863702076889634,1971-1980
DEU,Federal Republic of Germany,Winter,1.0,0.892250610090144,57,2,1971,1980,1.1207613519019843,1971-1980
DEU,German Democratic Republic,Winter,1.0,0.9052631578947368,19,1,1971,1980,1.1046511627906979,1971-1980
ESP,Spain,Winter,0.08333333333333337,0.7526315789473684,1,1,1971,1980,0.11072261072261078,1971-1980
FIN,Finland,Winter,0.7388888888888889,0.877830027531601,21,3,1971,1980,0.8417220483635024,1971-1980
FRA,France,Winter,0.20000000000000004,0.9031010840513306,5,3,1971,1980,0.22145915172950054,1971-1980
GBR,Great Britain,Winter,0.17500000000000004,0.8291125056028686,2,2,1971,1980,0.21106906338694423,1971-1980
HUN,Hungary,Winter,0.2666666666666667,0.6183574879227054,1,1,1971,1980,0.43125,1971-1980
ITA,Italy,Winter,0.4666666666666666,0.8081723682681479,11,3,1971,1980,0.5774345733530805,1971-1980
JPN,Japan,Winter,0.25833333333333336,0.8512204424103738,4,2,1971,1980,0.3034858192571352,1971-1980
LIE,Liechtenstein,Winter,0.425,0.9750361073758653,6,2,1971,1980,0.43588129381568363,1971-1980
NLD,Netherlands,Winter,0.6722222222222222,0.9269770371943106,19,3,1971,1980,0.7251767791970802,1971-1980
NOR,Norway,Winter,0.8722222222222222,0.9456621782555398,29,3,1971,1980,0.922340178425247,1971-1980
SWE,Sweden,Winter,0.39444444444444443,0.9698630759377651,10,3,1971,1980,0.40670116661885936,1971-1980
USA,United States,Winter,0.8388888888888889,0.9500360418452377,30,3,1971,1980,0.883007435443744,1971-1980
AUT,Austria,Winter,0.5222222222222223,0.8704934556122365,14,3,1975,1984,0.5999151617457392,1975-1984
BGR,Bulgaria,Winter,0.2666666666666667,0.6376811594202898,1,1,1975,1984,0.4181818181818183,1975-1984
CAN,Canada,Winter,0.41111111111111115,0.9249919959019017,9,3,1975,1984,0.44444829029062294,1975-1984
CHE,Switzerland,Winter,0.5833333333333334,0.967199561731162,15,3,1975,1984,0.6031157957611584,1975-1984
DEU,Federal Republic of Germany,Winter,1.0,0.890071835298191,85,3,1975,1984,1.1235048232539355,1975-1984
FIN,Finland,Winter,0.85,0.8932853324605902,29,3,1975,1984,0.9515436659624098,1975-1984
FRA,France,Winter,0.2555555555555556,0.8967518777021243,5,3,1975,1984,0.2849791139667331,1975-1984
GBR,Great Britain,Winter,0.17222222222222225,0.8368686545288965,3,3,1975,1984,0.20579361084944967,1975-1984
HUN,Hungary,Winter,0.2666666666666667,0.6183574879227054,1,1,1975,1984,0.43125,1975-1984
ITA,Italy,Winter,0.3833333333333333,0.8191163950016481,8,3,1975,1984,0.4679839589006908,1975-1984
JPN,Japan,Winter,0.21666666666666667,0.8846790890269152,2,2,1975,1984,0.24490989936812543,1975-1984
LIE,Liechtenstein,Winter,0.39444444444444443,0.9770081985680372,8,3,1975,1984,0.4037268520597537,1975-1984
NLD,Netherlands,Winter,0.6333333333333333,0.9299392400019921,10,2,1975,1984,0.6810480793691173,1975-1984
NOR,Norway,Winter,0.8444444444444444,0.9508417939614713,26,3,1975,1984,0.8881019427282998,1975-1984
SWE,Sweden,Winter,0.5333333333333333,0.9543242288199707,14,3,1975,1984,0.5588596802082706,1975-1984
USA,United States,Winter,0.8666666666666667,0.9422666182863404,30,3,1975,1984,0.9197679826998816,1975-1984
AUT,Austria,Winter,0.5564102564102563,0.886855178159526,18,3,1979,1988,0.6273969754170734,1979-1988
BGR,Bulgaria,Winter,0.2666666666666667,0.6376811594202898,1,1,1979,1988,0.4181818181818183,1979-1988
CAN,Canada,Winter,0.4282051282051282,0.9213698170219909,11,3,1979,1988,0.46474837822358134,1979-1988
CHE,Switzerland,Winter,0.6987179487179488,0.9762240501370937,25,3,1979,1988,0.7157352337507215,1979-1988
DEU,Federal Republic of Germany,Winter,1.0,0.9057834231747274,89,3,1979,1988,1.1040166715516255,1979-1988
FIN,Finland,Winter,0.8029914529914529,0.9177892177892177,29,3,1979,1988,0.8749192488071595,1979-1988
FRA,France,Winter,0.27905982905982907,0.906024036458819,6,3,1979,1988,0.30800488489304334,1979-1988
GBR,Great Britain,Winter,0.21666666666666667,0.8609730848861283,2,2,1979,1988,0.25165324035108816,1979-1988
HUN,Hungary,Winter,0.2666666666666667,0.6183574879227054,1,1,1979,1988,0.43125,1979-1988
ITA,Italy,Winter,0.37264957264957266,0.8537438059177189,9,3,1979,1988,0.4364887570094856,1979-1988
JPN,Japan,Winter,0.17008547008547006,0.9186148881801056,3,3,1979,1988,0.1851542711466731,1979-1988
LIE,Liechtenstein,Winter,0.3367521367521367,0.9840977623586319,7,3,1979,1988,0.3421937836186392,1979-1988
NLD,Netherlands,Winter,0.6461538461538461,0.9280584932758844,11,2,1979,1988,0.696242586901,1979-1988
NOR,Norway,Winter,0.694871794871795,0.9560119125336516,24,3,1979,1988,0.726844284848109,1979-1988
RUS,USSR,Winter,0.9230769230769231,0.7027027027027026,29,1,1979,1988,1.3136094674556216,1979-1988
SWE,Sweden,Winter,0.6294871794871795,0.9575594227768142,18,3,1979,1988,0.657387066028485,1979-1988
USA,United States,Winter,0.7405982905982906,0.9483035830861918,26,3,1979,1988,0.7809717307911693,1979-1988
AUT,Austria,Winter,0.6082621082621081,0.9077490650104757,32,3,1983,1992,0.6700773723794347,1983-1992
CAN,Canada,Winter,0.4985754985754986,0.9282052651347258,16,3,1983,1992,0.5371392700548107,1983-1992
CHE,Switzerland,Winter,0.569088319088319,0.9831196341569785,23,3,1983,1992,0.5788596822972722,1983-1992
CHN,China,Winter,0.2777777777777778,0.16182572614107882,3,1,1983,1992,1.7165242165242167,1983-1992
CZE,Czechoslovakia,Winter,0.2777777777777778,0.6804979253112032,3,1,1983,1992,0.4081978319783199,1983-1992
DEU,Federal Republic of Germany,Winter,1.0,0.9045688545688545,61,2,1983,1992,1.1054990396243864,1983-1992
DEU,Germany,Winter,1.0,0.9585062240663901,26,1,1983,1992,1.0432900432900432,1983-1992
ESP,Spain,Winter,0.05555555555555558,0.8506224066390041,1,1,1983,1992,0.0653116531165312,1983-1992
FIN,Finland,Winter,0.74002849002849,0.9271637375371816,27,3,1983,1992,0.79816375475838,1983-1992
FRA,France,Winter,0.4123931623931624,0.9096589179576732,14,3,1983,1992,0.4533492216170977,1983-1992
GBR,Great Britain,Winter,0.16666666666666663,0.8523809523809524,1,1,1983,1992,0.1955307262569832,1983-1992
ITA,Italy,Winter,0.4985754985754986,0.8822148170695888,21,3,1983,1992,0.5651406992138187,1983-1992
JPN,Japan,Winter,0.2849002849002849,0.9600084376017985,9,3,1983,1992,0.29676852175590834,1983-1992
KOR,Korea Republic,Winter,0.4444444444444444,0.7800829875518672,4,1,1983,1992,0.5697399527186761,1983-1992
LIE,Liechtenstein,Winter,0.20512820512820512,0.9882239382239382,3,2,1983,1992,0.20757259280408333,1983-1992
LUX,Luxembourg,Winter,0.11111111111111116,0.9875518672199171,2,1,1983,1992,0.11251167133520079,1983-1992
NLD,Netherlands,Winter,0.5683760683760684,0.9283391275092518,11,2,1983,1992,0.6122504713347913,1983-1992
NOR,Norway,Winter,0.6837606837606837,0.96381621692825,34,3,1983,1992,0.7094305654452225,1983-1992
NZL,New Zealand,Winter,0.05555555555555558,0.8174273858921162,1,1,1983,1992,0.06796390298928373,1983-1992
RUS,USSR,Winter,0.9230769230769231,0.7027027027027026,29,1,1983,1992,1.3136094674556216,1983-1992
RUS,Unified Team (ex USSR),Winter,0.9444444444444444,0.6556016597510373,23,1,1983,1992,1.440576652601969,1983-1992
SWE,Sweden,Winter,0.5776353276353277,0.9649093669840557,18,3,1983,1992,0.5986420563423472,1983-1992
USA,United States,Winter,0.6702279202279202,0.9558606620847284,25,3,1983,1992,0.7011774276453178,1983-1992
AUS,Australia,Winter,0.04761904761904767,0.8806584362139918,1,1,1985,1994,0.05407209612817095,1985-1994
AUT,Austria,Winter,0.7908017908017908,0.9341453025178245,40,3,1985,1994,0.8465511614417196,1985-1994
BLR,Belarus,Winter,0.19047619047619047,0.49382716049382713,2,1,1985,1994,0.38571428571428573,1985-1994
CAN,Canada,Winter,0.6017501017501018,0.9113720297829718,25,3,1985,1994,0.6602683449627027,1985-1994
CHE,Switzerland,Winter,0.6127391127391127,0.9901155189306411,27,3,1985,1994,0.6188561849842452,1985-1994
CHN,China,Winter,0.32936507936507936,0.19202397418165051,6,2,1985,1994,1.7152289487223462,1985-1994
CZE,Czechoslovakia,Winter,0.2777777777777778,0.6804979253112032,3,1,1985,1994,0.4081978319783199,1985-1994
DEU,Federal Republic of Germany,Winter,1.0,0.9234234234234234,33,1,1985,1994,1.0829268292682928,1985-1994
DEU,Germany,Winter,0.9761904761904762,0.9607345935146766,50,2,1985,1994,1.0160875675552152,1985-1994
ESP,Spain,Winter,0.05555555555555558,0.8506224066390041,1,1,1985,1994,0.0653116531165312,1985-1994
FIN,Finland,Winter,0.6408221408221408,0.9244006569963231,20,3,1985,1994,0.693229863016735,1985-1994
FRA,France,Winter,0.4481074481074481,0.9260218417280043,16,3,1985,1994,0.48390591659399373,1985-1994
GBR,Great Britain,Winter,0.19047619047619047,0.8930041152263375,2,1,1985,1994,0.21329822251481234,1985-1994
ITA,Italy,Winter,0.6731786731786732,0.8977742918883229,39,3,1985,1994,0.74983064146641,1985-1994
JPN,Japan,Winter,0.403947903947904,0.9830928977232958,13,3,1985,1994,0.41089494683909344,1985-1994
KAZ,Kazakhstan,Winter,0.38095238095238093,0.44032921810699593,3,1,1985,1994,0.8651535380507341,1985-1994
KOR,Korea Republic,Winter,0.5317460317460317,0.7851032221709953,10,2,1985,1994,0.6772944203128205,1985-1994
LIE,Liechtenstein,Winter,0.07692307692307687,0.9954954954954955,1,1,1985,1994,0.07727114514444826,1985-1994
LUX,Luxembourg,Winter,0.11111111111111116,0.9875518672199171,2,1,1985,1994,0.11251167133520079,1985-1994
NLD,Netherlands,Winter,0.5217745217745218,0.9316499533189252,15,3,1985,1994,0.5600542563392437,1985-1994
NOR,Norway,Winter,0.7393162393162394,0.9700870380138861,51,3,1985,1994,0.7621133056574833,1985-1994
NZL,New Zealand,Winter,0.05555555555555558,0.8174273858921162,1,1,1985,1994,0.06796390298928373,1985-1994
RUS,Russian Federation,Winter,0.9047619047619048,0.6008230452674896,23,1,1985,1994,1.5058708414872801,1985-1994
RUS,USSR,Winter,0.9230769230769231,0.7027027027027026,29,1,1985,1994,1.3136094674556216,1985-1994
RUS,Unified Team (ex USSR),Winter,0.9444444444444444,0.6556016597510373,23,1,1985,1994,1.440576652601969,1985-1994
SVN,Slovenia,Winter,0.38095238095238093,0.7736625514403292,3,1,1985,1994,0.4924012158054711,1985-1994
SWE,Sweden,Winter,0.45461945461945463,0.9688678227943633,13,3,1985,1994,0.4692275292085379,1985-1994
UKR,Ukraine,Winter,0.19047619047619047,0.3950617283950617,2,1,1985,1994,0.48214285714285715,1985-1994
USA,United States,Winter,0.69006919006919,0.9544105347086752,30,3,1985,1994,0.7230318243289583,1985-1994
UZB,Uzbekistan,Winter,0.04761904761904767,0.24279835390946503,1,1,1985,1994,0.19612590799031498,1985-1994
AUS,Australia,Winter,0.13250517598343686,0.8780802221230601,2,2,1989,1998,0.15090326902371193,1989-1998
AUT,Austria,Winter,0.8242466068553025,0.9414176350913618,47,3,1989,1998,0.8755376743875335,1989-1998
BEL,Belgium,Winter,0.21739130434782605,0.9196787148594378,1,1,1989,1998,0.23637744446554013,1989-1998
BGR,Bulgaria,Winter,0.21739130434782605,0.47791164658634533,1,1,1989,1998,0.4548776032151991,1989-1998
BLR,Belarus,Winter,0.2474120082815735,0.4657890822549457,4,2,1989,1998,0.531167469799463,1989-1998
CAN,Canada,Winter,0.7489072923855532,0.8897178454781852,35,3,1989,1998,0.8417357212645854,1989-1998
CHE,Switzerland,Winter,0.49010812054290315,0.98776376959094,19,3,1989,1998,0.4961794870709525,1989-1998
CHN,China,Winter,0.4079825166781689,0.2270789011277938,14,3,1989,1998,1.7966553239949294,1989-1998
CZE,Czech Republic,Winter,0.3913043478260869,0.7349397590361445,3,1,1989,1998,0.5324305060584462,1989-1998
CZE,Czechoslovakia,Winter,0.2777777777777778,0.6804979253112032,3,1,1989,1998,0.4081978319783199,1989-1998
DEU,Germany,Winter,0.9841269841269842,0.9524040529723011,79,3,1989,1998,1.0333082697996516,1989-1998
DNK,Denmark,Winter,0.21739130434782605,0.9678714859437751,1,1,1989,1998,0.22460761320584516,1989-1998
ESP,Spain,Winter,0.05555555555555558,0.8506224066390041,1,1,1989,1998,0.0653116531165312,1989-1998
FIN,Finland,Winter,0.656429721647113,0.9153192864691695,25,3,1989,1998,0.7171592813031187,1989-1998
FRA,France,Winter,0.5852311939268461,0.92509923237166,22,3,1989,1998,0.6326145060422323,1989-1998
GBR,Great Britain,Winter,0.20393374741200826,0.9183896078139719,3,2,1989,1998,0.22205580907805403,1989-1998
ITA,Italy,Winter,0.7623648493213712,0.9005059391982835,44,3,1989,1998,0.846596136834035,1989-1998
JPN,Japan,Winter,0.5956981826547044,0.9742105213710398,22,3,1989,1998,0.6114676136081532,1989-1998
KAZ,Kazakhstan,Winter,0.34265010351966874,0.4269919182904458,5,2,1989,1998,0.8024744470376448,1989-1998
KOR,Korea Republic,Winter,0.4994248907292385,0.776414196306768,16,3,1989,1998,0.6432454392319115,1989-1998
LUX,Luxembourg,Winter,0.11111111111111116,0.9875518672199171,2,1,1989,1998,0.11251167133520079,1989-1998
NLD,Netherlands,Winter,0.5228893489763055,0.9385966590608117,19,3,1989,1998,0.5570969637794411,1989-1998
NOR,Norway,Winter,0.9299516908212562,0.9727282334261657,71,3,1989,1998,0.9560241585111178,1989-1998
NZL,New Zealand,Winter,0.05555555555555558,0.8174273858921162,1,1,1989,1998,0.06796390298928373,1989-1998
RUS,Russian Federation,Winter,0.9089026915113871,0.5433834101839456,41,2,1989,1998,1.6726728760521161,1989-1998
RUS,Unified Team (ex USSR),Winter,0.9444444444444444,0.6556016597510373,23,1,1989,1998,1.440576652601969,1989-1998
SVN,Slovenia,Winter,0.38095238095238093,0.7736625514403292,3,1,1989,1998,0.4924012158054711,1989-1998
SWE,Sweden,Winter,0.40556705774097074,0.9619753881910854,10,3,1989,1998,0.42159816427695285,1989-1998
UKR,Ukraine,Winter,0.20393374741200826,0.34411720957905695,3,2,1989,1998,0.5926287373464152,1989-1998
USA,United States,Winter,0.7714515757994018,0.9603803599556088,37,3,1989,1998,0.8032771264033973,1989-1998
UZB,Uzbekistan,Winter,0.04761904761904767,0.24279835390946503,1,1,1989,1998,0.19612590799031498,1989-1998
AUS,Australia,Winter,0.16080055210489994,0.8666368147487068,4,3,1993,2002,0.1855454896080387,1993-2002
AUT,Austria,Winter,0.8178053830227743,0.9282293138603798,43,3,1993,2002,0.8810380913544226,1993-2002
BEL,Belgium,Winter,0.21739130434782605,0.9196787148594378,1,1,1993,2002,0.23637744446554013,1993-2002
BGR,Bulgaria,Winter,0.2826086956521739,0.49090894829317266,4,2,1993,2002,0.5756845472765734,1993-2002
BLR,Belarus,Winter,0.17943409247757072,0.4472448048366305,5,3,1993,2002,0.4011988301197023,1993-2002
CAN,Canada,Winter,0.8350586611456178,0.8824672403606195,45,3,1993,2002,0.9462772360868282,1993-2002
CHE,Switzerland,Winter,0.629399585921325,0.9827175213198474,27,3,1993,2002,0.6404684685747787,1993-2002
CHN,China,Winter,0.518288474810214,0.29292865908076754,19,3,1993,2002,1.769333449436606,1993-2002
CZE,Czech Republic,Winter,0.3695652173913043,0.7307511295180722,6,2,1993,2002,0.505733350881074,1993-2002
DEU,Germany,Winter,0.9841269841269842,0.932381144950171,89,3,1993,2002,1.0554985903104879,1993-2002
DNK,Denmark,Winter,0.21739130434782605,0.9678714859437751,1,1,1993,2002,0.22460761320584516,1993-2002
EST,Estonia,Winter,0.34782608695652173,0.6875,3,1,1993,2002,0.5059288537549407,1993-2002
FIN,Finland,Winter,0.62663906142167,0.9169401370915762,25,3,1993,2002,0.6834023684570006,1993-2002
FRA,France,Winter,0.5948930296756384,0.9068646628695852,24,3,1993,2002,0.6559887644019812,1993-2002
GBR,Great Britain,Winter,0.20841959972394752,0.9273639052093147,5,3,1993,2002,0.22474413609715085,1993-2002
HRV,Croatia,Winter,0.4347826086956522,0.703125,4,1,1993,2002,0.6183574879227054,1993-2002
ITA,Italy,Winter,0.7639751552795032,0.8825144972895699,43,3,1993,2002,0.8656800059668917,1993-2002
JPN,Japan,Winter,0.4644582470669427,0.9668032340266416,17,3,1993,2002,0.4804061785483683,1993-2002
KAZ,Kazakhstan,Winter,0.34265010351966874,0.4269919182904458,5,2,1993,2002,0.8024744470376448,1993-2002
KOR,Korea Republic,Winter,0.4962042788129745,0.7768032004561456,16,3,1993,2002,0.638777335780284,1993-2002
NLD,Netherlands,Winter,0.577639751552795,0.93720813036095,23,3,1993,2002,0.6163409522816738,1993-2002
NOR,Norway,Winter,0.9565217391304349,0.9745165719462211,76,3,1993,2002,0.9815346056354399,1993-2002
POL,Poland,Winter,0.21739130434782605,0.68359375,2,1,1993,2002,0.3180124223602484,1993-2002
RUS,Russian Federation,Winter,0.8668046928916494,0.5432451901226304,54,3,1993,2002,1.5956049103646546,1993-2002
SVN,Slovenia,Winter,0.21221532091097306,0.7657375257201646,4,2,1993,2002,0.27713846296273353,1993-2002
SWE,Sweden,Winter,0.4313319530710835,0.9466745583155668,13,3,1993,2002,0.4556285465604562,1993-2002
UKR,Ukraine,Winter,0.20393374741200826,0.34411720957905695,3,2,1993,2002,0.5926287373464152,1993-2002
USA,United States,Winter,0.849551414768806,0.9665612036623862,60,3,1993,2002,0.8789421834331652,1993-2002
UZB,Uzbekistan,Winter,0.04761904761904767,0.24279835390946503,1,1,1993,2002,0.19612590799031498,1993-2002
AUS,Australia,Winter,0.25159420289855067,0.8688038470353527,5,3,1997,2006,0.2895868886366855,1997-2006
AUT,Austria,Winter,0.8730434782608696,0.910967780818475,57,3,1997,2006,0.9583692163914606,1997-2006
BEL,Belgium,Winter,0.21739130434782605,0.9196787148594378,1,1,1997,2006,0.23637744446554013,1997-2006
BGR,Bulgaria,Winter,0.25507246376811593,0.5088549927661359,5,3,1997,2006,0.5012674875833328,1997-2006
BLR,Belarus,Winter,0.18260869565217389,0.4525449601584028,4,3,1997,2006,0.40351503547461004,1997-2006
CAN,Canada,Winter,0.8718840579710144,0.8843353716422109,56,3,1997,2006,0.9859201451502789,1997-2006
CHE,Switzerland,Winter,0.6446376811594203,0.9751595959063231,32,3,1997,2006,0.6610586450316244,1997-2006
CHN,China,Winter,0.6179710144927536,0.342071186822517,27,3,1997,2006,1.8065567586473943,1997-2006
CZE,Czech Republic,Winter,0.39304347826086955,0.733600623310362,10,3,1997,2006,0.5357730974753901,1997-2006
DEU,Germany,Winter,1.0,0.9084103518483793,94,3,1997,2006,1.1008240911888107,1997-2006
DNK,Denmark,Winter,0.21739130434782605,0.9678714859437751,1,1,1997,2006,0.22460761320584516,1997-2006
EST,Estonia,Winter,0.3739130434782609,0.7036721789883269,6,2,1997,2006,0.5313739190539515,1997-2006
FIN,Finland,Winter,0.6069565217391304,0.9187335431219039,28,3,1997,2006,0.660644782465067,1997-2006
FRA,France,Winter,0.6069565217391305,0.891273772945218,28,3,1997,2006,0.6809989704212209,1997-2006
GBR,Great Britain,Winter,0.2115942028985507,0.9409799134931425,4,3,1997,2006,0.2248658019840853,1997-2006
HRV,Croatia,Winter,0.4173913043478261,0.7095391536964981,7,2,1997,2006,0.5882569019247713,1997-2006
ITA,Italy,Winter,0.704927536231884,0.8729336525739795,34,3,1997,2006,0.807538504390679,1997-2006
JPN,Japan,Winter,0.3565217391304348,0.9320826797787779,13,3,1997,2006,0.3825001224301821,1997-2006
KAZ,Kazakhstan,Winter,0.30434782608695654,0.4136546184738956,2,1,1997,2006,0.73575348248206,1997-2006
KOR,Korea Republic,Winter,0.5165217391304348,0.7780201545481537,21,3,1997,2006,0.6638924918730571,1997-2006
