Country Code,country_name,season,avg_medal_rank,avg_gdp_rank,total_medals,editions,window_start,window_end,window_efficiency,window_label
AUT,Austria,Winter,0.6,0.8466666666666667,6,1,1960,1960,0.7086614173228346,1960-1960
CAN,Canada,Winter,0.4,0.98,4,1,1960,1960,0.40816326530612246,1960-1960
CHE,Switzerland,Winter,0.19999999999999996,0.96,2,1,1960,1960,0.2083333333333333,1960-1960
DEU,Unified Team of Germany,Winter,0.9,0.86,8,1,1960,1960,1.0465116279069768,1960-1960
FIN,Finland,Winter,0.9,0.8666666666666667,8,1,1960,1960,1.0384615384615385,1960-1960
FRA,France,Winter,0.30000000000000004,0.8866666666666667,3,1,1960,1960,0.33834586466165417,1960-1960
ITA,Italy,Winter,0.0,0.8266666666666667,1,1,1960,1960,0.0,1960-1960
NLD,Netherlands,Winter,0.19999999999999996,0.8533333333333333,2,1,1960,1960,0.23437499999999997,1960-1960
NOR,Norway,Winter,0.6,0.92,6,1,1960,1960,0.6521739130434782,1960-1960
SWE,Sweden,Winter,0.7,0.9666666666666667,7,1,1960,1960,0.7241379310344828,1960-1960
USA,United States,Winter,1.0,1.0,10,1,1960,1960,1.0,1960-1960
AUT,Austria,Winter,0.75,0.8426881720430108,18,2,1960,1964,0.8900089319892815,1960-1964
CAN,Canada,Winter,0.3,0.9674193548387096,7,2,1960,1964,0.3101033677892631,1960-1964
CHE,Switzerland,Winter,0.19999999999999996,0.96,2,1,1960,1964,0.2083333333333333,1960-1964
DEU,Unified Team of Germany,Winter,0.8,0.8622580645161291,17,2,1960,1964,0.9277964833520389,1960-1964
FIN,Finland,Winter,0.8500000000000001,0.878494623655914,18,2,1960,1964,0.9675642594859242,1960-1964
FRA,France,Winter,0.45,0.9013978494623656,10,2,1960,1964,0.4992246212573065,1960-1964
GBR,Great Britain,Winter,0.0,0.896774193548387,1,1,1960,1964,0.0,1960-1964
ITA,Italy,Winter,0.15000000000000002,0.8294623655913979,5,2,1960,1964,0.18084003111226343,1960-1964
NLD,Netherlands,Winter,0.14999999999999997,0.8621505376344085,4,2,1960,1964,0.17398353704165626,1960-1964
NOR,Norway,Winter,0.8,0.9212903225806452,21,2,1960,1964,0.8683473389355741,1960-1964
SWE,Sweden,Winter,0.6499999999999999,0.9736559139784946,14,2,1960,1964,0.6675869685256763,1960-1964
USA,United States,Winter,0.8,0.9967741935483871,17,2,1960,1964,0.8025889967637541,1960-1964
AUT,Austria,Winter,0.7666666666666666,0.8352452085077159,29,3,1960,1968,0.9178941212203126,1960-1968
CAN,Canada,Winter,0.19999999999999998,0.9702955379563454,10,3,1960,1968,0.2061227658752752,1960-1968
CHE,Switzerland,Winter,0.25,0.9650299401197604,8,2,1960,1968,0.25905931993050385,1960-1968
DEU,Federal Republic of Germany,Winter,0.9,0.874251497005988,12,1,1960,1968,1.0294520547945205,1960-1968
DEU,Unified Team of Germany,Winter,0.8,0.8622580645161291,17,2,1960,1968,0.9277964833520389,1960-1968
